Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Birmingham City,24,9.0,129,73,48,60,21,66,123,53.7,57,85,14,71,80,209,250,4
Blackburn,23,7.8,148,95,74,55,19,81,141,57.4,60,61,21,40,48,196,210,2
Bristol City,20,8.0,129,77,70,36,23,63,112,56.3,49,96,32,64,81,210,270,4
Charlton Ath,20,8.0,123,72,55,43,25,53,100,53.0,47,104,42,62,67,190,251,2
Coventry City,22,8.0,94,62,50,28,16,44,97,45.4,53,84,20,64,62,156,167,1
Derby County,24,8.0,127,80,57,50,20,51,92,55.4,41,82,24,58,52,179,262,5
Hull City,26,8.0,130,80,66,53,11,61,119,51.3,58,107,40,67,46,176,278,5
Ipswich Town,25,7.8,80,47,29,44,7,36,65,55.4,29,59,16,43,53,133,217,4
Leicester City,25,8.0,102,66,52,35,15,47,97,48.5,50,70,32,38,46,148,233,5
Middlesbrough,23,8.0,149,97,72,53,24,70,133,52.6,63,98,33,65,49,198,219,4
Millwall,26,8.0,153,88,74,57,22,68,124,54.8,56,93,27,66,70,223,255,3
Norwich City,24,8.0,152,94,78,59,15,82,137,59.9,55,104,46,58,67,219,257,8
Oxford United,25,8.0,158,100,93,54,11,78,141,55.3,63,82,24,58,74,232,256,4
Portsmouth,26,8.0,114,66,52,42,20,43,98,43.9,55,81,26,55,52,166,254,3
Preston,19,8.0,144,85,75,59,10,70,122,57.4,52,99,35,64,74,218,267,3
QPR,25,8.0,126,78,51,59,16,55,105,52.4,50,75,35,40,51,177,273,6
Sheffield Utd,25,8.0,112,70,51,45,16,43,95,45.3,52,75,28,47,54,166,248,5
Sheffield Weds,20,8.0,129,75,66,49,14,56,111,50.5,55,92,39,53,74,203,259,1
Southampton,27,8.0,109,67,40,57,12,44,90,48.9,46,68,22,46,57,166,212,7
Stoke City,19,8.0,119,58,47,61,11,48,92,52.2,44,66,19,47,54,173,186,4
Swansea City,20,8.0,133,76,65,55,13,61,112,54.5,51,85,35,50,63,196,275,1
Watford,27,8.0,109,69,58,42,9,47,89,52.8,42,83,23,60,62,171,271,6
West Brom,23,8.0,110,73,56,48,6,59,123,48.0,64,58,19,39,58,168,267,2
Wrexham,23,9.0,171,107,85,69,17,86,168,51.2,82,122,44,78,78,249,286,2
