Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Birmingham City,2,9,9,810,9.0,11,1.22,23,13,56.5,3,3,3,2,22.2,1,1,0,0,0.0
Blackburn,1,7,7,630,7.8,10,1.43,27,17,70.4,2,0,5,2,28.6,2,2,0,0,0.0
Bristol City,1,8,8,720,8.0,8,1.0,30,22,76.7,3,4,1,3,37.5,1,1,0,0,0.0
Charlton Ath,1,8,8,720,8.0,6,0.75,19,13,68.4,3,3,2,4,50.0,0,0,0,0,
Coventry City,1,8,8,720,8.0,7,0.87,24,17,75.0,4,4,0,4,50.0,1,1,0,0,0.0
Derby County,1,8,8,720,8.0,14,1.75,42,28,71.4,1,4,3,1,12.5,2,2,0,0,0.0
Hull City,1,8,8,720,8.0,16,2.0,38,22,57.9,2,3,3,1,12.5,0,0,0,0,
Ipswich Town,1,7,7,630,7.8,7,1.0,17,10,70.6,2,4,1,1,14.3,2,2,0,0,0.0
Leicester City,1,8,8,720,8.0,7,0.87,25,19,72.0,3,4,1,3,37.5,0,0,0,0,
Middlesbrough,1,8,8,720,8.0,5,0.62,16,11,68.8,5,3,0,4,50.0,0,0,0,0,
Millwall,1,8,8,720,8.0,12,1.5,27,15,55.6,3,2,3,2,25.0,0,0,0,0,
Norwich City,1,8,8,720,8.0,11,1.37,31,19,64.5,2,2,4,1,12.5,1,0,1,0,100.0
Oxford United,1,8,8,720,8.0,11,1.37,28,17,60.7,1,3,4,1,12.5,0,0,0,0,
Portsmouth,3,8,8,720,8.0,9,1.13,33,24,72.7,2,3,3,3,37.5,0,0,0,0,
Preston,1,8,8,720,8.0,7,0.87,26,20,73.1,3,4,1,3,37.5,0,0,0,0,
QPR,2,8,8,720,8.0,13,1.62,29,16,55.2,3,3,2,2,25.0,0,0,0,0,
Sheffield Utd,1,8,8,720,8.0,15,1.87,44,29,65.9,1,0,7,1,12.5,1,0,0,1,
Sheffield Weds,2,8,8,720,8.0,15,1.87,47,33,70.2,1,3,4,1,12.5,1,1,0,0,0.0
Southampton,2,8,8,720,8.0,11,1.37,20,10,50.0,2,4,2,1,12.5,1,1,0,0,0.0
Stoke City,1,8,8,720,8.0,5,0.62,26,21,80.8,4,2,2,3,37.5,0,0,0,0,
Swansea City,1,8,8,720,8.0,7,0.87,26,19,73.1,3,3,2,2,25.0,0,0,0,0,
Watford,2,8,8,720,8.0,10,1.25,33,23,69.7,2,3,3,0,0.0,0,0,0,0,
West Brom,1,8,8,720,8.0,7,0.87,21,15,66.7,4,2,2,3,37.5,0,0,0,0,
Wrexham,2,9,9,810,9.0,15,1.67,41,27,63.4,2,4,3,1,11.1,0,0,0,0,
