Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Ajax,37,34.0,59,5,3,408,325,36,502,318,322,0,9,1,1319,409,546,42.8
vs Almere City,33,34.0,38,4,0,302,345,54,692,234,392,0,0,2,1528,697,601,53.7
vs AZ Alkmaar,30,34.0,79,6,2,364,335,39,490,322,328,2,2,1,1373,500,431,53.7
vs Feyenoord,40,34.0,58,2,1,423,269,49,435,327,449,3,6,5,1364,423,435,49.3
vs Fortuna Sittard,30,34.0,44,2,1,377,382,56,699,234,344,2,6,1,1421,585,520,52.9
vs Go Ahead Eag,28,34.0,58,3,1,350,289,25,779,286,274,2,2,0,1381,469,452,50.9
vs Groningen,29,34.0,52,2,0,358,320,63,586,321,371,4,6,1,1553,649,594,52.2
vs Heerenveen,30,34.0,45,3,0,341,390,56,534,364,383,3,6,1,1567,544,462,54.1
vs Heracles Almelo,24,34.0,40,2,2,369,417,31,639,231,374,5,5,0,1495,499,561,47.1
vs NAC Breda,30,34.0,47,2,1,336,335,25,676,285,320,6,3,0,1447,568,624,47.7
vs NEC Nijmegen,25,34.0,56,5,2,368,347,40,663,276,328,2,3,0,1425,570,513,52.6
vs PSV Eindhoven,32,34.0,47,4,0,279,267,38,387,375,345,1,4,4,1408,380,506,42.9
vs RKC Waalwijk,29,34.0,38,2,0,295,298,40,723,277,405,5,3,3,1651,453,486,48.2
vs Sparta R'dam,29,34.0,49,4,2,301,313,14,722,283,283,4,2,1,1417,566,657,46.3
vs Twente,29,34.0,55,0,0,359,340,56,570,321,289,2,7,1,1393,556,485,53.4
vs Utrecht,27,34.0,66,4,0,388,340,40,569,282,372,3,2,4,1383,558,618,47.4
vs Willem II,26,34.0,42,0,0,302,327,36,774,260,332,4,3,4,1440,587,543,51.9
vs Zwolle,26,34.0,56,2,2,370,369,50,682,285,400,4,3,1,1575,528,507,51.0
