Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Ajax,37,34.0,11914,14994,79.5,217889,74436,4938,5571,88.6,5568,6325,88.0,1168,2419,48.3,22,24.3,25.3,-2.3,262,880,189,55,950
vs Almere City,33,34.0,14563,18188,80.1,267974,98482,5967,6751,88.4,6670,7683,86.8,1566,2882,54.3,48,45.2,47.0,2.8,397,1340,353,90,1507
vs AZ Alkmaar,30,34.0,12723,16080,79.1,236373,83912,5085,5858,86.8,6059,6916,87.6,1315,2533,51.9,27,23.0,29.4,4.0,229,920,211,51,1159
vs Feyenoord,40,34.0,10451,13587,76.9,197952,72395,4114,4768,86.3,4929,5726,86.1,1183,2380,49.7,28,26.8,28.5,1.2,250,722,182,44,888
vs Fortuna Sittard,30,34.0,13780,17305,79.6,248280,88604,5986,6851,87.4,5992,7028,85.3,1464,2522,58.0,38,37.6,39.1,0.4,343,1269,322,92,1474
vs Go Ahead Eag,28,34.0,12815,16121,79.5,237280,84661,5218,5916,88.2,5856,6756,86.7,1425,2681,53.2,44,34.1,42.2,9.9,410,1184,353,103,1425
vs Groningen,29,34.0,13596,17275,78.7,252830,88561,5651,6422,88.0,6198,7231,85.7,1516,2840,53.4,39,33.1,35.0,5.9,303,1115,267,84,1279
vs Heerenveen,30,34.0,12165,15534,78.3,230702,85652,4911,5662,86.7,5575,6496,85.8,1446,2651,54.5,41,37.5,36.6,3.5,324,1006,246,76,1138
vs Heracles Almelo,24,34.0,13637,17000,80.2,246359,91717,5696,6487,87.8,6240,7175,87.0,1373,2487,55.2,41,46.6,45.4,-5.6,394,1179,315,87,1446
vs NAC Breda,30,34.0,14425,17857,80.8,254829,88432,6266,7066,88.7,6481,7436,87.2,1327,2453,54.1,42,42.8,52.5,-0.8,404,1213,356,92,1495
vs NEC Nijmegen,25,34.0,13410,16820,79.7,248622,87888,5546,6321,87.7,6096,7063,86.3,1498,2658,56.4,27,33.0,39.2,-6.0,349,1187,302,60,1457
vs PSV Eindhoven,32,34.0,7890,10981,71.9,149283,64175,3363,3996,84.2,3370,4122,81.8,976,2244,43.5,24,22.1,23.6,1.9,206,571,165,48,771
vs RKC Waalwijk,29,34.0,15008,18383,81.6,273147,95131,6194,7006,88.4,7059,7996,88.3,1463,2573,56.9,53,52.7,56.5,0.3,439,1426,383,93,1721
vs Sparta R'dam,29,34.0,13471,17079,78.9,243904,89517,5726,6544,87.5,5997,7044,85.1,1408,2613,53.9,23,31.9,44.2,-8.9,369,1269,315,79,1426
vs Twente,29,34.0,11871,15364,77.3,215258,79436,5138,5943,86.5,5095,5994,85.0,1317,2558,51.5,37,32.7,36.2,4.3,269,945,257,81,1071
vs Utrecht,27,34.0,13927,17358,80.2,248909,89509,6062,6907,87.8,6078,6960,87.3,1390,2601,53.4,28,30.3,36.6,-2.3,304,1071,282,74,1247
vs Willem II,26,34.0,15425,18766,82.2,282579,97612,6281,7004,89.7,7321,8309,88.1,1555,2672,58.2,38,42.4,50.7,-4.4,454,1469,380,109,1737
vs Zwolle,26,34.0,12658,16375,77.3,236782,86994,5190,6085,85.3,5779,6746,85.7,1400,2713,51.6,33,40.8,41.0,-7.8,358,1056,300,93,1348
