Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Ajax,24,7.0,3008,2693,303,98,14,6,115,94,36,21,15,0,2387,12,45
vs AZ Alkmaar,22,7.0,2675,2361,308,84,5,16,124,112,28,23,2,0,2042,6,57
vs Excelsior,25,7.0,3582,3239,332,97,18,32,126,140,33,20,6,0,2892,11,75
vs Feyenoord,25,7.0,2866,2537,319,71,4,18,91,127,20,11,7,0,2167,10,56
vs Fortuna Sittard,21,7.0,3319,2946,362,99,8,17,163,151,51,24,22,0,2583,11,68
vs Go Ahead Eag,21,7.0,2984,2691,288,73,2,17,150,91,39,24,7,0,2356,5,31
vs Groningen,21,8.0,3707,3301,395,110,12,20,121,174,39,20,8,0,2836,11,73
vs Heerenveen,22,7.0,3127,2779,337,83,7,19,114,151,33,22,9,0,2396,11,59
vs Heracles Almelo,21,7.0,3652,3316,324,90,7,13,165,122,50,21,12,0,3003,12,66
vs NAC Breda,21,8.0,3684,3330,345,110,5,14,123,144,34,14,7,1,2928,9,71
vs NEC Nijmegen,23,7.0,2380,2047,323,98,5,13,80,117,23,14,6,0,1662,10,49
vs PSV Eindhoven,23,7.0,2644,2299,335,83,7,10,118,123,36,16,15,0,1942,10,75
vs Sparta R'dam,21,7.0,3841,3538,288,54,10,27,169,114,53,23,21,0,3152,15,67
vs Telstar,21,7.0,3605,3280,312,92,9,28,142,120,35,25,3,0,2955,13,62
vs Twente,21,7.0,2864,2490,359,93,6,31,98,151,25,13,6,0,2104,15,65
vs Utrecht,26,7.0,3051,2762,282,72,14,16,77,119,25,10,9,0,2381,7,45
vs Volendam,22,7.0,3716,3404,301,81,8,13,159,116,39,23,6,0,3048,11,61
vs Zwolle,23,7.0,3713,3365,341,82,9,30,170,150,39,17,13,0,2991,7,66
