Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Ajax,24,7.0,101,62,38,48,15,52,79,65.8,27,65,23,42,68,169,181,4
AZ Alkmaar,22,7.0,119,67,58,47,14,55,106,51.9,51,76,27,49,40,159,183,8
Excelsior,25,7.0,114,68,57,40,17,54,115,47.0,61,98,36,62,63,177,179,1
Feyenoord,25,7.0,120,76,55,48,17,51,87,58.6,36,67,17,50,53,173,200,4
Fortuna Sittard,21,7.0,131,82,74,41,16,64,123,52.0,59,89,29,60,76,207,236,3
Go Ahead Eag,21,7.0,80,50,32,39,9,35,79,44.3,44,72,46,26,45,125,184,4
Groningen,21,8.0,145,83,54,68,23,82,158,51.9,76,95,24,71,62,207,193,3
Heerenveen,22,7.0,94,66,35,48,11,34,83,41.0,49,61,6,55,42,136,176,6
Heracles Almelo,21,7.0,97,59,49,34,14,50,93,53.8,43,98,54,44,41,138,253,4
NAC Breda,21,8.0,134,86,70,50,14,70,131,53.4,61,92,31,61,56,190,247,4
NEC Nijmegen,23,7.0,126,81,48,49,29,66,118,55.9,52,61,15,46,42,168,153,5
PSV Eindhoven,23,7.0,125,81,59,52,14,72,126,57.1,54,98,32,66,56,181,189,11
Sparta R'dam,21,7.0,104,54,55,38,11,52,119,43.7,67,94,37,57,55,159,257,5
Telstar,21,7.0,107,64,51,42,14,60,105,57.1,45,79,28,51,49,156,193,8
Twente,21,7.0,132,81,57,59,16,73,132,55.3,59,83,25,58,55,187,153,2
Utrecht,26,7.0,108,55,48,49,11,55,100,55.0,45,63,21,42,52,160,161,5
Volendam,22,7.0,96,54,60,28,8,51,85,60.0,34,78,30,48,64,160,201,3
Zwolle,23,7.0,98,57,55,31,12,44,91,48.4,47,83,23,60,79,177,221,4
