Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Atlético Mineiro,28,14.0,287,20.5,197,36,13,21,12,8,21,1.5,13,2,1,3,0,2
vs Bahia,27,14.0,333,23.79,241,24,15,22,21,10,25,1.79,19,1,1,1,3,0
vs Botafogo (RJ),30,14.0,297,21.21,216,22,18,19,17,5,13,0.93,10,1,1,1,0,0
vs Ceará,27,14.0,302,21.57,225,21,13,18,19,6,19,1.36,14,0,1,3,1,0
vs Corinthians,30,15.0,287,19.13,204,28,12,16,22,5,31,2.07,17,2,4,4,4,0
vs Cruzeiro,30,15.0,348,23.2,237,39,22,22,24,4,17,1.13,14,0,2,1,0,0
vs Flamengo,25,14.0,201,14.36,140,16,14,15,13,3,8,0.57,6,0,1,1,0,0
vs Fluminense,29,13.0,229,17.62,154,27,18,14,11,5,25,1.92,14,4,1,4,2,0
vs Fortaleza,35,14.0,331,23.64,248,18,22,22,14,7,35,2.5,27,2,2,2,1,1
vs Grêmio,31,14.0,368,26.29,260,36,17,33,17,5,33,2.36,21,3,1,3,5,0
vs Internacional,32,14.0,276,19.71,212,15,15,17,13,4,31,2.21,25,0,4,1,1,0
vs Juventude,33,13.0,382,29.38,247,36,27,42,22,8,45,3.46,21,7,2,9,6,0
vs Mirassol,28,13.0,329,25.31,252,20,18,13,17,9,25,1.92,20,1,2,0,1,1
vs Palmeiras,27,13.0,216,16.62,154,20,5,14,20,3,20,1.54,14,1,0,2,3,0
vs RB Bragantino,26,15.0,389,25.93,297,30,20,20,18,4,23,1.53,13,3,2,5,0,0
vs Santos,32,14.0,349,24.93,250,37,19,20,20,3,28,2.0,20,1,2,3,2,0
vs São Paulo,29,15.0,369,24.6,255,34,25,28,21,6,28,1.87,17,1,2,5,2,1
vs Sport Recife,34,13.0,294,22.62,217,21,16,19,16,5,36,2.77,28,1,3,1,3,0
vs Vasco da Gama,28,14.0,309,22.07,243,23,5,19,18,1,27,1.93,21,1,1,3,1,0
vs Vitória,29,15.0,407,27.13,284,39,17,25,35,7,28,1.87,20,3,1,3,0,1
