Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Atlético Mineiro,32,24.0,20,369,104,28.2,15.37,4.33,0.05,0.18,20.0,27,1,1,26.7,25.9,0.07,-6.7,-6.9
Bahia,29,25.0,31,310,98,31.6,12.4,3.92,0.09,0.29,18.6,17,3,3,30.7,28.4,0.09,0.3,-0.4
Botafogo (RJ),38,26.0,37,367,125,34.1,14.12,4.81,0.1,0.28,18.1,10,2,2,33.8,32.3,0.09,3.2,2.7
Ceará,32,25.0,23,292,103,35.3,11.68,4.12,0.08,0.21,19.7,15,1,2,25.6,23.9,0.08,-2.6,-1.9
Corinthians,33,26.0,24,292,88,30.1,11.23,3.38,0.08,0.26,18.3,12,1,3,29.7,28.0,0.1,-5.7,-5.0
Cruzeiro,34,26.0,38,358,117,32.7,13.77,4.5,0.1,0.32,19.1,18,1,3,34.2,31.8,0.09,3.8,5.2
Flamengo,31,25.0,50,368,131,35.6,14.72,5.24,0.13,0.36,18.0,11,3,4,37.4,34.3,0.1,12.6,12.7
Fluminense,36,24.0,29,290,83,28.6,12.08,3.46,0.09,0.31,19.2,7,3,4,24.7,21.7,0.08,4.3,4.3
Fortaleza,43,25.0,24,325,93,28.6,13.0,3.72,0.07,0.24,19.6,14,2,4,29.2,26.0,0.08,-5.2,-4.0
Grêmio,39,26.0,27,269,94,34.9,10.35,3.62,0.08,0.22,18.8,9,6,6,29.0,24.3,0.09,-2.0,-3.3
Internacional,36,25.0,30,327,105,32.1,13.08,4.2,0.07,0.21,19.2,16,8,9,37.3,30.2,0.09,-7.3,-8.2
Juventude,43,25.0,20,253,73,28.9,10.12,2.92,0.07,0.25,19.8,11,2,2,18.3,16.7,0.07,1.7,1.3
Mirassol,32,25.0,40,338,116,34.3,13.52,4.64,0.11,0.31,18.8,7,4,5,36.7,32.8,0.1,3.3,3.2
Palmeiras,34,24.0,38,334,103,30.8,13.92,4.29,0.1,0.31,19.3,14,6,7,36.0,30.5,0.09,2.0,1.5
RB Bragantino,31,26.0,32,311,107,34.4,11.96,4.12,0.1,0.28,18.4,15,2,2,28.7,27.2,0.09,3.3,2.8
Santos,40,25.0,24,316,84,26.6,12.64,3.36,0.07,0.25,18.2,17,3,3,29.4,27.1,0.09,-5.4,-6.1
São Paulo,37,26.0,29,319,89,27.9,12.27,3.42,0.08,0.3,18.2,9,2,5,33.1,29.3,0.09,-4.1,-2.3
Sport Recife,40,24.0,16,305,98,32.1,12.71,4.08,0.05,0.15,18.7,17,1,1,23.5,22.7,0.08,-7.5,-7.7
Vasco da Gama,37,26.0,37,345,121,35.1,13.27,4.65,0.1,0.27,19.2,14,4,4,30.6,27.5,0.08,6.4,5.5
Vitória,38,26.0,21,311,105,33.8,11.96,4.04,0.07,0.2,19.1,7,0,0,26.7,26.7,0.09,-5.7,-5.7
