Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Angers,21,6.0,8,1,0,62,62,11,94,47,71,1,3,0,229,56,60,48.3
Auxerre,22,6.0,14,3,1,78,90,10,85,59,75,0,1,1,249,86,94,47.8
Brest,24,6.0,8,2,0,74,60,7,86,52,70,1,1,0,261,114,93,55.1
Le Havre,22,6.0,12,0,0,96,71,6,155,43,44,1,2,1,237,80,85,48.5
Lens,21,6.0,9,1,0,70,79,11,123,70,67,1,0,0,285,73,85,46.2
Lille,26,6.0,14,0,0,81,85,9,127,59,48,1,1,0,251,91,65,58.3
Lorient,22,7.0,23,1,0,86,103,11,106,69,55,1,4,0,256,76,104,42.2
Lyon,22,6.0,13,1,0,102,80,5,105,45,44,0,0,1,204,64,55,53.8
Marseille,28,6.0,16,1,0,80,60,6,113,29,47,3,0,0,199,68,49,58.1
Metz,23,6.0,7,1,0,71,65,7,93,36,76,2,2,1,244,44,49,47.3
Monaco,26,6.0,14,1,1,77,57,14,113,58,66,0,3,1,257,69,67,50.7
Nantes,20,6.0,9,0,0,68,75,5,75,45,60,1,2,0,223,65,72,47.4
Nice,26,6.0,14,0,0,79,83,10,133,47,54,0,1,0,250,83,81,50.6
Paris FC,24,7.0,7,1,0,80,71,11,128,47,61,1,3,0,274,68,90,43.0
Paris S-G,22,6.0,4,0,0,54,53,4,80,35,66,3,1,1,287,41,46,47.1
Rennes,25,6.0,10,3,0,78,68,14,88,40,43,0,1,0,240,51,48,51.5
Strasbourg,24,6.0,14,2,1,67,78,11,100,28,63,2,0,0,260,57,55,50.9
Toulouse,21,6.0,16,1,0,82,64,8,93,48,63,2,3,0,262,83,71,53.9
