Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Angers,21,6.0,4006,3723,276,65,12,31,125,116,41,19,15,0,3485,7,55
vs Auxerre,22,6.0,3210,2939,265,86,15,21,92,110,29,14,9,0,2703,6,61
vs Brest,24,6.0,3230,2925,294,77,14,25,133,108,39,25,11,0,2657,11,57
vs Le Havre,22,6.0,3099,2811,281,98,9,12,107,100,20,9,9,0,2603,7,48
vs Lens,21,6.0,3269,2968,296,79,8,11,106,111,38,15,11,0,2724,5,64
vs Lille,26,6.0,2302,2013,278,88,6,14,86,103,22,11,6,0,1764,11,52
vs Lorient,22,7.0,4208,3914,285,94,5,15,123,96,35,10,21,0,3642,9,51
vs Lyon,22,6.0,2652,2365,273,104,10,28,123,85,31,14,10,0,2164,14,56
vs Marseille,28,6.0,2648,2404,234,83,8,18,72,81,20,10,6,2,2231,10,31
vs Metz,23,6.0,3091,2823,258,71,13,13,109,113,34,20,5,0,2637,10,47
vs Monaco,26,6.0,2742,2461,276,87,11,19,97,93,29,9,15,0,2207,5,61
vs Nantes,20,6.0,3313,3023,267,71,12,26,135,113,35,15,12,0,2781,23,48
vs Nice,26,6.0,2519,2250,268,88,12,13,94,88,19,6,9,0,2000,1,38
vs Paris FC,24,7.0,3264,2939,316,84,8,19,107,119,32,9,21,0,2679,9,42
vs Paris S-G,22,6.0,1909,1675,226,55,7,13,52,71,20,10,3,0,1460,8,45
vs Rennes,25,6.0,2938,2662,267,89,10,23,115,92,28,11,11,1,2443,9,47
vs Strasbourg,24,6.0,3160,2887,262,76,4,16,120,108,26,13,7,0,2647,11,64
vs Toulouse,21,6.0,3336,3048,284,84,10,16,101,110,39,16,10,0,2834,4,43
