Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Angers,21,6.0,114,71,75,32,7,58,98,59.2,40,66,19,47,47,161,160,4
Auxerre,22,6.0,131,75,76,44,11,53,100,53.0,47,76,18,58,59,190,143,3
Brest,24,6.0,117,70,49,47,21,67,129,51.9,62,76,27,49,52,169,155,3
Le Havre,22,6.0,94,44,42,40,12,46,85,54.1,39,52,12,40,43,137,145,3
Lens,21,6.0,119,67,66,35,18,63,108,58.3,45,92,29,63,70,189,151,3
Lille,26,6.0,84,48,33,39,12,45,88,51.1,43,59,11,48,59,143,118,8
Lorient,22,7.0,91,55,51,31,9,45,78,57.7,33,56,16,40,69,160,166,3
Lyon,22,6.0,81,44,42,31,8,43,87,49.4,44,76,32,44,45,126,155,5
Marseille,28,6.0,81,47,27,35,19,38,71,53.5,33,47,16,31,29,110,105,4
Metz,23,6.0,122,76,67,40,15,61,113,54.0,52,63,18,45,36,158,136,4
Monaco,26,6.0,104,66,36,44,24,38,97,39.2,59,74,21,53,58,162,123,4
Nantes,20,6.0,100,60,55,36,9,55,93,59.1,38,65,25,40,45,145,152,2
Nice,26,6.0,85,54,40,29,16,27,69,39.1,42,46,18,28,47,132,137,4
Paris FC,24,7.0,102,61,52,37,13,41,71,57.7,30,59,24,35,47,149,177,9
Paris S-G,22,6.0,99,66,34,43,22,57,92,62.0,35,58,15,43,35,134,77,2
Rennes,25,6.0,80,43,40,31,9,47,92,51.1,45,67,27,40,40,120,141,5
Strasbourg,24,6.0,106,63,43,41,22,50,110,45.5,60,72,15,57,28,134,150,5
Toulouse,21,6.0,108,63,56,39,13,62,100,62.0,38,71,31,40,48,156,175,2
