Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Angers,21,6.0,151,25.17,112,9,9,10,9,2,8,1.33,6,0,0,2,0,0
vs Auxerre,22,6.0,128,21.33,88,19,4,10,5,2,14,2.33,13,0,0,1,0,0
vs Brest,24,6.0,148,24.67,108,18,6,14,2,0,18,3.0,11,2,2,2,1,0
vs Le Havre,22,6.0,90,15.0,65,11,3,4,7,0,13,2.17,9,1,2,0,1,0
vs Lens,21,6.0,140,23.33,103,11,7,11,7,1,9,1.5,6,1,0,1,0,1
vs Lille,26,6.0,93,15.5,62,8,3,9,7,4,12,2.0,7,0,0,5,0,0
vs Lorient,22,7.0,135,19.29,104,9,5,9,7,1,27,3.86,21,1,1,3,1,0
vs Lyon,22,6.0,141,23.5,104,6,12,10,5,4,3,0.5,2,0,0,1,0,0
vs Marseille,28,6.0,112,18.67,80,9,7,8,6,2,9,1.5,8,0,0,1,0,0
vs Metz,23,6.0,145,24.17,105,7,10,12,9,2,22,3.67,18,0,1,1,2,0
vs Monaco,26,6.0,133,22.17,94,11,9,10,9,0,18,3.0,11,1,3,0,3,0
vs Nantes,20,6.0,168,28.0,131,13,7,10,5,2,12,2.0,8,1,1,1,1,0
vs Nice,26,6.0,118,19.67,86,11,6,10,2,3,16,2.67,11,1,3,1,0,0
vs Paris FC,24,7.0,141,20.14,90,16,5,14,11,5,22,3.14,15,2,0,2,2,1
vs Paris S-G,22,6.0,93,15.5,67,7,6,7,4,2,4,0.67,2,0,1,1,0,0
vs Rennes,25,6.0,166,27.67,122,14,11,12,5,2,15,2.5,10,1,2,2,0,0
vs Strasbourg,24,6.0,114,19.0,81,11,6,12,3,1,9,1.5,5,0,1,3,0,0
vs Toulouse,21,6.0,142,23.67,107,14,3,14,4,0,19,3.17,11,2,1,3,2,0
