Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Angers,21,6.0,103,61,38,46,19,57,86,66.3,29,45,11,34,37,140,100,3
vs Auxerre,22,6.0,105,60,56,36,13,46,89,51.7,43,58,21,37,44,149,166,3
vs Brest,24,6.0,91,57,44,35,12,40,71,56.3,31,68,29,39,48,139,159,1
vs Le Havre,22,6.0,92,56,47,32,13,39,76,51.3,37,60,18,42,47,139,167,5
vs Lens,21,6.0,92,56,42,39,11,44,92,47.8,48,75,23,52,44,136,127,6
vs Lille,26,6.0,94,48,51,29,14,50,94,53.2,44,96,35,61,76,170,175,4
vs Lorient,22,7.0,113,62,44,50,19,51,107,47.7,56,76,21,55,50,163,133,6
vs Lyon,22,6.0,70,43,25,38,7,35,74,47.3,39,74,18,56,40,110,99,1
vs Marseille,28,6.0,66,46,37,24,5,40,70,57.1,30,54,21,33,43,109,162,7
vs Metz,23,6.0,108,58,39,47,22,47,91,51.6,44,60,18,42,40,148,140,3
vs Monaco,26,6.0,115,65,61,42,12,60,97,61.9,37,69,17,52,65,180,165,9
vs Nantes,20,6.0,83,46,27,38,18,41,87,47.1,46,68,22,46,42,125,126,3
vs Nice,26,6.0,97,56,50,33,14,42,88,47.7,46,59,22,37,36,133,170,1
vs Paris FC,24,7.0,105,70,49,38,18,48,88,54.5,40,55,18,37,42,147,169,9
vs Paris S-G,22,6.0,143,87,96,35,12,87,140,62.1,53,72,21,51,66,209,123,3
vs Rennes,25,6.0,97,52,47,30,20,45,91,49.5,46,72,25,47,51,148,116,5
vs Strasbourg,24,6.0,127,83,69,43,15,63,122,51.6,59,59,17,42,44,171,135,1
vs Toulouse,21,6.0,117,67,62,39,16,61,118,51.7,57,55,17,38,42,159,134,3
