Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Atalanta,22,5.0,2185,1963,216,55,4,6,106,83,22,7,8,0,1738,6,41
vs Bologna,24,5.0,1929,1690,234,78,11,12,55,99,18,9,5,0,1473,5,31
vs Cagliari,21,5.0,2576,2313,254,83,4,13,106,96,28,19,6,0,2121,9,26
vs Como,21,5.0,1792,1514,268,83,4,12,72,108,20,10,8,0,1358,10,41
vs Cremonese,23,5.0,2571,2331,233,71,8,14,88,100,30,19,10,0,2125,7,35
vs Fiorentina,22,5.0,1987,1738,243,80,5,8,79,80,25,11,11,0,1558,6,39
vs Genoa,21,5.0,2100,1827,263,80,4,12,65,130,19,7,6,0,1597,10,42
vs Hellas Verona,24,6.0,3249,2939,304,107,11,15,95,121,27,15,5,0,2667,6,60
vs Inter,24,5.0,1849,1597,246,78,4,7,68,82,19,9,8,0,1465,6,34
vs Juventus,21,5.0,1841,1609,230,57,1,6,93,91,28,18,10,0,1403,2,27
vs Lazio,23,5.0,2362,2124,232,64,10,27,77,101,22,11,6,0,1966,6,47
vs Lecce,22,5.0,2442,2219,210,53,8,15,86,83,32,11,16,0,1974,13,35
vs Milan,24,5.0,2440,2238,196,58,3,11,104,66,18,7,6,0,2070,6,31
vs Napoli,24,5.0,1949,1769,178,64,4,10,50,49,13,7,3,0,1571,2,25
vs Parma,19,5.0,2395,2173,208,57,3,10,83,89,18,8,6,0,1942,14,44
vs Pisa,23,5.0,2724,2453,263,74,6,12,105,104,34,12,17,0,2247,8,44
vs Roma,21,5.0,1776,1539,228,74,2,5,64,93,13,4,4,0,1278,9,41
vs Sassuolo,25,6.0,3142,2866,272,78,7,14,113,119,30,13,15,0,2598,4,62
vs Torino,23,5.0,2603,2397,199,71,5,10,77,73,20,11,8,0,2207,7,25
vs Udinese,24,5.0,2327,2083,232,66,7,15,99,95,27,6,16,0,1874,12,45
