Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Atalanta,22,5.0,2538,2337,194,47,5,9,88,75,25,10,12,0,2090,7,31
Bologna,24,5.0,2311,2042,256,81,1,17,88,107,32,7,16,0,1817,13,41
Cagliari,21,5.0,1975,1727,240,78,1,13,72,82,18,3,14,0,1564,8,36
Como,21,5.0,2598,2336,260,83,8,17,61,117,20,8,7,0,2185,2,49
Cremonese,23,5.0,2141,1880,249,73,2,9,68,103,14,6,7,0,1673,12,43
Fiorentina,22,5.0,2136,1888,236,90,6,8,72,71,21,10,8,0,1696,12,23
Genoa,21,5.0,2188,1927,259,77,6,15,82,119,22,12,5,0,1660,2,44
Hellas Verona,24,6.0,2205,1949,246,56,11,16,88,113,22,12,10,0,1617,10,45
Inter,24,5.0,2849,2625,213,48,2,16,129,88,39,12,24,0,2423,11,38
Juventus,21,5.0,2720,2477,238,60,7,12,105,101,32,10,11,0,2285,5,52
Lazio,23,5.0,2453,2208,240,94,9,9,69,88,18,10,7,0,2039,5,47
Lecce,22,5.0,1867,1608,254,80,2,10,80,99,20,8,6,0,1417,5,24
Milan,24,5.0,2585,2365,210,61,14,15,71,90,26,14,10,0,2216,10,29
Napoli,24,5.0,3052,2822,226,65,19,7,112,82,32,24,2,0,2641,4,41
Parma,19,5.0,1842,1611,229,77,0,7,90,89,19,15,3,0,1372,2,23
Pisa,23,5.0,1686,1472,208,64,5,5,87,75,20,7,9,0,1235,6,40
Roma,21,5.0,2667,2399,261,83,3,19,102,107,30,16,10,0,2147,7,56
Sassuolo,25,6.0,2421,2164,246,88,5,18,52,88,14,9,3,0,1953,11,37
Torino,23,5.0,1911,1688,214,60,4,6,83,78,20,10,7,0,1506,9,32
Udinese,24,5.0,2094,1857,230,66,1,6,86,90,19,11,3,0,1696,7,44
