Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Arsenal,21,6.0,10,0,0,57,63,5,59,41,57,0,1,0,213,85,82,50.9
vs Aston Villa,22,6.0,14,1,0,80,62,10,112,55,75,1,0,0,245,87,79,52.4
vs Bournemouth,23,7.0,15,1,0,82,79,10,119,46,85,0,1,0,291,118,103,53.4
vs Brentford,20,6.0,14,0,0,57,76,9,113,45,60,2,2,0,220,106,93,53.3
vs Brighton,20,6.0,18,1,0,74,82,6,96,41,58,1,3,0,227,89,71,55.6
vs Burnley,20,6.0,6,0,0,53,51,7,174,29,45,1,0,0,220,103,97,51.5
vs Chelsea,24,6.0,15,1,1,78,62,10,99,48,70,0,1,0,210,72,86,45.6
vs Crystal Palace,20,6.0,14,0,0,59,57,6,151,54,38,0,1,0,234,100,93,51.8
vs Everton,19,6.0,12,0,0,78,55,14,93,46,53,0,0,0,237,104,130,44.4
vs Fulham,21,7.0,10,0,0,83,92,16,108,55,58,2,0,2,268,101,83,54.9
vs Leeds United,21,6.0,7,0,0,75,62,5,129,31,65,1,1,0,243,104,81,56.2
vs Liverpool,21,6.0,12,2,1,66,53,8,94,64,63,0,1,0,212,84,124,40.4
vs Manchester City,22,6.0,11,0,0,67,50,14,101,49,83,0,0,2,245,62,81,43.4
vs Manchester Utd,19,6.0,17,1,0,76,58,11,84,46,60,0,3,2,224,113,105,51.8
vs Newcastle Utd,21,6.0,12,1,0,71,67,6,96,65,49,0,0,0,251,86,109,44.1
vs Nott'ham Forest,23,6.0,9,0,0,58,60,6,117,41,53,1,0,0,236,76,78,49.4
vs Sunderland,23,6.0,9,0,0,60,49,6,145,25,47,1,1,0,221,101,106,48.8
vs Tottenham,19,6.0,8,1,0,57,71,7,83,42,65,0,0,1,225,97,85,53.3
vs West Ham,23,6.0,8,0,0,51,62,8,138,37,65,0,1,0,214,106,106,50.0
vs Wolves,23,6.0,10,0,0,58,82,8,117,52,61,0,0,0,232,98,100,49.5
