Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,1,6,6,540,6.0,3,0.5,18,15,83.3,4,1,1,3,50.0,0,0,0,0,
Aston Villa,2,6,6,540,6.0,6,1.0,18,12,72.2,1,3,2,2,33.3,1,1,0,0,0.0
Bournemouth,1,7,7,630,7.0,8,1.14,27,19,70.4,4,2,1,3,42.9,0,0,0,0,
Brentford,1,6,6,540,6.0,11,1.83,25,14,60.0,2,1,3,1,16.7,2,1,1,0,50.0
Brighton,1,6,6,540,6.0,9,1.5,19,11,57.9,2,2,2,0,0.0,1,1,0,0,0.0
Burnley,1,6,6,540,6.0,13,2.17,33,23,66.7,1,1,4,1,16.7,2,2,0,0,0.0
Chelsea,2,6,6,538,6.0,8,1.34,20,12,60.0,2,2,2,2,33.3,0,0,0,0,
Crystal Palace,1,6,6,540,6.0,3,0.5,14,11,78.6,3,3,0,3,50.0,0,0,0,0,
Everton,1,6,6,540,6.0,6,1.0,18,11,72.2,2,2,2,2,33.3,2,1,1,0,50.0
Fulham,1,7,7,630,7.0,11,1.57,29,19,69.0,2,2,3,1,14.3,3,2,0,1,0.0
Leeds United,2,6,6,540,6.0,9,1.5,22,14,63.6,2,2,2,2,33.3,1,1,0,0,0.0
Liverpool,1,6,6,540,6.0,7,1.17,16,9,56.3,5,0,1,2,33.3,0,0,0,0,
Manchester City,2,6,6,540,6.0,6,1.0,22,16,77.3,3,1,2,2,33.3,1,1,0,0,0.0
Manchester Utd,1,6,6,540,6.0,11,1.83,24,13,54.2,2,1,3,0,0.0,0,0,0,0,
Newcastle Utd,1,6,6,540,6.0,5,0.83,20,15,75.0,1,3,2,4,66.7,0,0,0,0,
Nott'ham Forest,1,6,6,540,6.0,10,1.67,28,18,71.4,1,2,3,0,0.0,2,2,0,0,0.0
Sunderland,1,6,6,540,6.0,4,0.67,23,18,82.6,3,2,1,3,50.0,1,0,1,0,100.0
Tottenham,1,6,6,540,6.0,4,0.67,25,21,84.0,3,2,1,3,50.0,0,0,0,0,
West Ham,2,6,6,540,6.0,14,2.33,29,15,51.7,1,1,4,1,16.7,0,0,0,0,
Wolves,2,6,6,540,6.0,13,2.17,23,10,43.5,0,1,5,0,0.0,0,0,0,0,
