Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Arsenal,1,6,6,540,6.0,12,2.0,24,12,54.2,1,1,4,1,16.7,1,1,0,0,0.0
vs Aston Villa,2,6,6,540,6.0,4,0.67,16,12,75.0,2,3,1,4,66.7,0,0,0,0,
vs Bournemouth,1,7,7,630,7.0,11,1.57,31,20,67.7,1,2,4,1,14.3,1,1,0,0,0.0
vs Brentford,1,6,6,540,6.0,9,1.5,24,14,66.7,3,1,2,0,0.0,2,1,1,0,50.0
vs Brighton,1,6,6,540,6.0,9,1.5,24,14,70.8,2,2,2,1,16.7,3,2,1,0,33.3
vs Burnley,1,6,6,540,6.0,6,1.0,16,10,62.5,4,1,1,2,33.3,0,0,0,0,
vs Chelsea,2,6,6,540,6.0,11,1.83,25,14,60.0,2,2,2,1,16.7,1,1,0,0,0.0
vs Crystal Palace,1,6,6,540,6.0,8,1.33,28,20,75.0,0,3,3,2,33.3,1,1,0,0,0.0
vs Everton,1,6,6,540,6.0,7,1.17,18,11,61.1,2,2,2,2,33.3,0,0,0,0,
vs Fulham,1,7,7,630,7.0,8,1.14,19,13,57.9,3,2,2,1,14.3,0,0,0,0,
vs Leeds United,2,6,6,540,6.0,6,1.0,20,14,75.0,2,2,2,3,50.0,1,1,0,0,0.0
vs Liverpool,1,6,6,540,6.0,12,2.0,28,16,60.7,1,0,5,0,0.0,1,1,0,0,0.0
vs Manchester City,2,6,6,540,6.0,14,2.33,28,16,50.0,2,1,3,1,16.7,0,0,0,0,
vs Manchester Utd,1,6,6,538,6.0,7,1.17,28,22,78.6,3,1,2,2,33.3,3,1,1,1,50.0
vs Newcastle Utd,1,6,6,540,6.0,4,0.67,16,12,75.0,2,3,1,3,50.0,0,0,0,0,
vs Nott'ham Forest,1,6,6,540,6.0,5,0.83,24,19,79.2,3,2,1,3,50.0,0,0,0,0,
vs Sunderland,1,6,6,540,6.0,7,1.17,16,9,62.5,1,2,3,2,33.3,1,1,0,0,0.0
vs Tottenham,1,6,6,540,6.0,11,1.83,23,13,52.2,1,2,3,1,16.7,0,0,0,0,
vs West Ham,2,6,6,540,6.0,6,1.0,25,19,80.0,4,1,1,2,33.3,1,1,0,0,0.0
vs Wolves,2,6,6,540,6.0,4,0.67,20,16,80.0,5,1,0,3,50.0,0,0,0,0,
