Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Alavés,22,7.0,3256,2864,376,117,4,20,130,148,38,9,16,0,2509,16,66
Athletic Club,24,7.0,3584,3209,370,125,8,23,186,144,48,19,16,0,2855,5,73
Atlético Madrid,21,7.0,4093,3764,318,80,15,28,164,122,48,14,23,0,3445,11,62
Barcelona,24,7.0,5024,4682,326,105,17,15,100,137,50,24,2,0,4453,16,61
Betis,25,7.0,3626,3280,336,123,9,33,111,113,36,14,13,0,3024,10,60
Celta Vigo,23,7.0,3919,3583,325,84,24,21,120,132,43,16,21,0,3313,11,74
Elche,25,7.0,4028,3715,304,130,5,21,106,98,22,2,2,0,3449,9,48
Espanyol,22,7.0,2763,2452,302,89,8,13,133,127,23,10,8,1,2142,9,36
Getafe,23,8.0,2698,2251,426,134,1,30,123,178,32,9,14,1,1876,21,59
Girona,27,7.0,3120,2763,345,97,9,18,104,126,31,12,16,0,2545,12,51
Levante,24,7.0,2517,2192,310,83,14,17,74,119,14,2,4,0,1922,15,55
Mallorca,24,7.0,2828,2505,317,95,1,19,127,113,29,20,5,1,2206,6,64
Osasuna,20,8.0,3445,3090,346,96,8,33,116,141,17,6,10,0,2657,9,62
Oviedo,26,7.0,2714,2381,315,81,7,28,74,134,19,14,2,0,2150,18,47
Rayo Vallecano,23,7.0,3598,3236,343,76,13,24,164,142,48,15,24,0,2906,19,76
Real Madrid,22,7.0,4508,4194,303,95,9,39,94,113,38,14,9,0,3985,11,52
Real Sociedad,25,7.0,3493,3146,333,70,12,22,152,141,51,33,2,0,2813,14,68
Sevilla,28,7.0,3326,2988,320,106,8,37,112,140,22,9,5,0,2669,18,58
Valencia,20,7.0,2997,2651,337,91,11,17,118,129,37,7,26,0,2366,9,52
Villarreal,24,7.0,3477,3154,308,79,13,18,132,131,42,30,3,0,2918,15,37
