Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alavés,22,7.0,135,81,62,61,12,59,118,50.0,59,81,26,55,54,189,199,4
Athletic Club,24,7.0,104,65,34,46,24,56,114,49.1,58,66,14,52,56,160,127,6
Atlético Madrid,21,7.0,97,54,45,38,14,54,106,50.9,52,50,8,42,53,150,122,5
Barcelona,24,7.0,103,64,40,46,17,44,80,55.0,36,64,10,54,43,146,128,2
Betis,25,7.0,125,67,57,51,17,59,126,46.8,67,66,17,49,61,186,224,5
Celta Vigo,23,7.0,121,73,50,48,23,57,102,55.9,45,63,20,43,41,162,173,5
Elche,25,7.0,119,69,63,44,12,62,97,63.9,35,59,20,39,61,180,153,6
Espanyol,22,7.0,106,69,57,35,14,58,117,49.6,59,72,27,45,48,154,181,2
Getafe,23,8.0,150,106,77,57,16,83,141,58.9,58,92,16,76,64,214,258,4
Girona,27,7.0,94,54,57,31,6,40,87,46.0,47,67,26,41,55,149,169,10
Levante,24,7.0,125,64,61,50,14,67,126,53.2,59,82,32,50,40,165,217,4
Mallorca,24,7.0,104,52,59,37,8,54,95,56.8,41,81,21,60,45,149,179,4
Osasuna,20,8.0,118,72,72,44,2,62,113,54.9,51,87,29,58,67,185,245,4
Oviedo,26,7.0,119,76,75,41,3,70,117,59.8,47,78,36,42,44,163,234,11
Rayo Vallecano,23,7.0,119,58,62,48,9,56,110,50.9,54,86,21,65,61,180,133,4
Real Madrid,22,7.0,112,67,42,47,23,52,88,59.1,36,73,28,45,49,161,132,4
Real Sociedad,25,7.0,126,78,76,38,12,68,140,48.6,72,71,28,43,38,164,163,5
Sevilla,28,7.0,139,87,61,57,21,79,139,56.8,60,80,26,54,55,194,213,3
Valencia,20,7.0,110,57,58,41,11,54,91,59.3,37,67,29,38,52,162,206,3
Villarreal,24,7.0,130,86,56,56,18,83,134,61.9,51,76,22,54,63,193,134,6
