Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Alavés,22,7.0,135,19.29,85,19,13,8,8,2,9,1.29,3,0,2,4,0,0
vs Athletic Club,24,7.0,113,16.14,85,8,12,6,0,2,13,1.86,10,1,1,1,0,0
vs Atlético Madrid,21,7.0,91,13.0,62,11,5,2,11,0,17,2.43,12,1,1,1,2,0
vs Barcelona,24,7.0,71,10.14,49,8,3,7,4,0,7,1.0,3,1,1,2,0,0
vs Betis,25,7.0,127,18.14,94,11,9,8,1,4,10,1.43,3,1,3,2,0,1
vs Celta Vigo,23,7.0,144,20.57,107,17,6,6,3,5,16,2.29,11,2,1,2,0,0
vs Elche,25,7.0,124,17.71,95,7,9,4,6,3,10,1.43,8,0,1,0,0,1
vs Espanyol,22,7.0,172,24.57,131,17,8,11,5,0,18,2.57,14,1,0,0,3,0
vs Getafe,23,8.0,142,17.75,107,18,5,2,8,2,17,2.12,14,2,0,1,0,0
vs Girona,27,7.0,199,28.43,154,14,11,9,6,5,25,3.57,17,0,2,1,3,2
vs Levante,24,7.0,229,32.71,177,15,12,14,7,4,23,3.29,17,1,2,0,2,1
vs Mallorca,24,7.0,185,26.43,147,14,9,8,4,3,19,2.71,16,0,0,2,1,0
vs Osasuna,20,8.0,183,22.87,143,13,13,6,6,2,12,1.5,9,0,1,1,1,0
vs Oviedo,26,7.0,234,33.43,175,16,8,21,8,6,20,2.86,10,4,1,3,1,1
vs Rayo Vallecano,23,7.0,127,18.14,97,9,7,6,6,2,19,2.71,11,1,2,2,2,1
vs Real Madrid,22,7.0,127,18.14,90,16,4,10,6,1,13,1.86,6,2,0,3,2,0
vs Real Sociedad,25,7.0,182,26.0,123,14,21,13,9,2,19,2.71,14,1,2,0,1,1
vs Sevilla,28,7.0,150,21.43,93,19,12,16,8,2,20,2.86,13,1,3,0,3,0
vs Valencia,20,7.0,190,27.14,148,17,7,10,6,2,24,3.43,20,3,1,0,0,0
vs Villarreal,24,7.0,112,16.0,81,8,4,7,9,3,8,1.14,7,0,1,0,0,0
