Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alavés,22,7.0,15,0,0,121,98,16,130,54,81,2,0,0,291,152,137,52.6
Athletic Club,24,7.0,9,2,0,90,90,5,186,56,65,2,0,1,312,85,87,49.4
Atlético Madrid,21,7.0,16,1,0,83,81,11,164,53,54,1,1,0,299,90,104,46.4
Barcelona,24,7.0,6,0,0,63,79,16,100,43,64,1,1,0,278,96,56,63.2
Betis,25,7.0,11,0,0,67,99,10,111,61,67,0,0,1,326,96,85,53.0
Celta Vigo,23,7.0,12,0,0,88,71,11,120,41,73,1,1,0,265,49,49,50.0
Elche,25,7.0,14,0,0,88,115,9,106,61,69,0,0,0,302,57,92,38.3
Espanyol,22,7.0,11,1,0,94,81,9,133,48,69,2,1,0,256,96,127,43.0
Getafe,23,8.0,20,0,0,119,111,21,123,64,106,0,0,1,300,102,149,40.6
Girona,27,7.0,12,3,1,66,88,12,104,55,54,0,2,0,240,62,86,41.9
Levante,24,7.0,17,0,0,106,75,15,74,40,64,0,1,1,230,91,93,49.5
Mallorca,24,7.0,12,2,1,86,81,6,127,45,52,1,2,0,267,101,90,52.9
Osasuna,20,8.0,15,2,1,101,80,9,116,67,72,0,1,0,348,157,88,64.1
Oviedo,26,7.0,18,3,2,81,70,18,74,44,76,1,1,0,245,84,71,54.2
Rayo Vallecano,23,7.0,20,1,0,84,67,19,164,61,58,1,2,0,330,62,90,40.8
Real Madrid,22,7.0,12,1,0,69,95,11,94,49,67,2,2,0,285,78,65,54.5
Real Sociedad,25,7.0,18,0,0,107,58,14,152,38,78,0,1,1,285,94,100,48.5
Sevilla,28,7.0,20,0,0,110,97,18,112,55,87,0,2,0,326,106,73,59.2
Valencia,20,7.0,11,1,0,80,64,9,118,52,57,1,0,0,241,85,92,48.0
Villarreal,24,7.0,14,0,0,78,76,15,132,63,86,0,2,0,290,64,73,46.7
