Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Augsburg,22,5.0,80,53,40,30,10,44,81,54.3,37,55,17,38,56,136,178,7
Bayern Munich,20,5.0,65,38,24,29,12,31,73,42.5,42,52,20,32,52,117,88,5
Dortmund,21,5.0,46,27,26,12,8,22,45,48.9,23,44,9,35,35,81,152,3
Eint Frankfurt,22,5.0,75,50,26,34,15,36,63,57.1,27,54,10,44,40,115,123,5
Freiburg,23,5.0,63,37,35,24,4,28,45,62.2,17,53,21,32,52,115,124,6
Gladbach,20,5.0,93,46,34,47,12,38,71,53.5,33,52,16,36,48,141,126,1
Hamburger SV,24,5.0,60,30,32,23,5,31,63,49.2,32,61,24,37,30,90,183,3
Heidenheim,22,5.0,74,39,45,21,8,43,98,43.9,55,58,14,44,49,123,134,7
Hoffenheim,20,6.0,105,66,54,39,12,54,101,53.5,47,72,16,56,42,147,210,2
Köln,22,6.0,65,45,34,24,7,26,54,48.1,28,72,31,41,44,109,238,2
Leverkusen,22,5.0,72,44,33,27,12,36,57,63.2,21,44,9,35,36,108,105,4
Mainz 05,23,5.0,66,44,32,21,13,27,54,50.0,27,58,17,41,47,113,123,0
RB Leipzig,21,5.0,73,44,42,23,8,30,64,46.9,34,75,26,49,51,124,161,3
St. Pauli,17,5.0,95,54,29,44,22,49,82,59.8,33,41,9,32,37,132,89,2
Stuttgart,22,5.0,65,37,32,23,10,32,53,60.4,21,57,18,39,45,110,152,2
Union Berlin,19,5.0,72,43,38,28,6,35,70,50.0,35,55,20,35,42,114,183,2
Werder Bremen,22,5.0,88,46,44,35,9,48,88,54.5,40,66,23,43,39,127,136,5
Wolfsburg,21,5.0,74,47,46,20,8,37,74,50.0,37,59,20,39,50,124,176,5
