Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Augsburg,1,5,5,450,5.0,12,2.4,30,17,63.3,1,0,4,0,0.0,2,1,1,0,50.0
Bayern Munich,1,5,5,450,5.0,3,0.6,12,9,75.0,5,0,0,3,60.0,0,0,0,0,
Dortmund,1,5,5,450,5.0,3,0.6,13,10,84.6,4,1,0,4,80.0,1,1,0,0,0.0
Eint Frankfurt,2,5,5,450,5.0,13,2.6,30,17,60.0,3,0,2,0,0.0,1,1,0,0,0.0
Freiburg,1,5,5,450,5.0,9,1.8,22,12,59.1,2,1,2,1,20.0,1,0,1,0,100.0
Gladbach,1,5,5,450,5.0,12,2.4,28,16,60.7,0,2,3,1,20.0,1,1,0,0,0.0
Hamburger SV,1,5,5,450,5.0,8,1.6,31,22,77.4,1,2,2,2,40.0,2,1,1,0,50.0
Heidenheim,1,5,5,450,5.0,10,2.0,29,19,69.0,1,0,4,0,0.0,1,1,0,0,0.0
Hoffenheim,1,6,6,540,6.0,12,2.0,29,17,65.5,2,1,3,0,0.0,2,2,0,0,0.0
Köln,1,6,6,540,6.0,9,1.5,27,18,70.4,3,1,2,2,33.3,1,1,0,0,0.0
Leverkusen,1,5,5,450,5.0,8,1.6,24,16,70.8,2,2,1,0,0.0,1,1,0,0,0.0
Mainz 05,2,5,5,448,5.0,6,1.21,17,11,64.7,1,1,3,0,0.0,0,0,0,0,
RB Leipzig,1,5,5,450,5.0,7,1.4,19,12,63.2,4,0,1,3,60.0,0,0,0,0,
St. Pauli,1,5,5,450,5.0,8,1.6,26,16,69.2,2,1,2,1,20.0,2,0,2,0,100.0
Stuttgart,1,5,5,450,5.0,6,1.2,21,15,76.2,3,0,2,2,40.0,1,1,0,0,0.0
Union Berlin,1,5,5,450,5.0,11,2.2,36,25,77.8,2,1,2,1,20.0,3,3,0,0,0.0
Werder Bremen,2,5,5,450,5.0,14,2.8,28,15,60.7,1,1,3,1,20.0,3,3,0,0,0.0
Wolfsburg,1,5,5,450,5.0,7,1.4,23,16,73.9,1,2,2,0,0.0,2,1,0,1,0.0
