Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Augsburg,22,5.0,12,1,1,61,71,10,73,47,53,0,0,0,199,85,87,49.4
vs Bayern Munich,20,5.0,7,0,0,62,49,10,61,47,55,0,4,0,201,32,35,47.8
vs Dortmund,21,5.0,6,2,0,46,57,12,92,58,46,1,1,0,190,57,66,46.3
vs Eint Frankfurt,22,5.0,13,2,2,58,44,18,69,32,46,1,1,0,195,83,66,55.7
vs Freiburg,23,5.0,14,0,0,71,42,9,86,41,31,0,3,1,192,101,107,48.6
vs Gladbach,20,5.0,10,0,0,44,64,10,69,38,42,1,0,0,205,62,70,47.0
vs Hamburger SV,24,5.0,10,0,0,68,66,7,110,38,36,1,0,0,179,59,79,42.8
vs Heidenheim,22,5.0,19,0,0,63,53,6,87,41,35,1,0,0,220,83,54,60.6
vs Hoffenheim,20,6.0,9,1,0,56,83,8,107,56,52,1,2,0,227,104,110,48.6
vs Köln,22,6.0,9,1,0,68,57,12,154,28,49,1,0,0,193,104,102,50.5
vs Leverkusen,22,5.0,19,1,1,65,51,7,101,40,52,1,2,0,203,53,75,41.4
vs Mainz 05,23,5.0,7,1,1,62,54,5,73,51,39,0,1,0,181,107,125,46.1
vs RB Leipzig,21,5.0,13,0,0,53,48,8,96,47,42,0,1,0,211,71,66,51.8
vs St. Pauli,17,5.0,15,2,1,61,68,9,45,51,44,2,2,0,195,92,55,62.6
vs Stuttgart,22,5.0,9,1,0,69,54,10,107,46,46,1,2,0,177,79,85,48.2
vs Union Berlin,19,5.0,10,1,0,66,67,7,105,26,40,3,1,0,201,108,87,55.4
vs Werder Bremen,22,5.0,9,0,0,47,41,5,93,61,48,2,3,0,226,50,43,53.8
vs Wolfsburg,21,5.0,13,0,0,56,55,10,130,47,34,1,1,0,188,68,82,45.3
