Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Augsburg,22,5.0,122,24.4,88,10,6,8,8,2,21,4.2,15,0,2,1,1,2
vs Bayern Munich,20,5.0,92,18.4,63,10,6,5,6,2,6,1.2,5,0,0,0,1,0
vs Dortmund,21,5.0,83,16.6,51,16,3,6,7,0,6,1.2,3,0,1,1,1,0
vs Eint Frankfurt,22,5.0,117,23.4,85,11,6,8,6,1,20,4.0,15,1,1,0,3,0
vs Freiburg,23,5.0,101,20.2,72,10,4,8,4,3,13,2.6,11,1,1,0,0,0
vs Gladbach,20,5.0,118,23.6,93,10,5,6,4,0,22,4.4,15,3,0,3,1,0
vs Hamburger SV,24,5.0,156,31.2,107,18,8,10,9,4,13,2.6,7,2,1,2,1,0
vs Heidenheim,22,5.0,146,29.2,107,10,11,8,7,3,19,3.8,14,0,2,1,1,1
vs Hoffenheim,20,6.0,115,19.17,69,15,8,11,11,1,19,3.17,7,2,2,5,3,0
vs Köln,22,6.0,164,27.33,119,19,3,11,10,2,14,2.33,6,2,0,2,4,0
vs Leverkusen,22,5.0,104,20.8,74,12,3,3,4,8,11,2.2,7,1,1,1,1,0
vs Mainz 05,23,5.0,127,25.4,89,14,5,10,7,2,11,2.2,9,0,1,1,0,0
vs RB Leipzig,21,5.0,131,26.2,103,7,5,10,3,3,14,2.8,12,0,1,0,0,1
vs St. Pauli,17,5.0,84,16.8,66,4,8,0,5,1,15,3.0,13,0,1,0,1,0
vs Stuttgart,22,5.0,107,21.4,72,13,6,12,4,0,9,1.8,7,0,0,1,1,0
vs Union Berlin,19,5.0,137,27.4,102,15,4,6,9,1,19,3.8,15,0,1,0,3,0
vs Werder Bremen,22,5.0,144,28.8,111,11,3,6,7,6,22,4.4,18,1,0,1,2,0
vs Wolfsburg,21,5.0,119,23.8,86,9,8,9,5,2,11,2.2,9,0,0,1,1,0
