Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Augsburg,22,5.0,106,21.2,76,10,4,7,5,4,12,2.4,9,1,1,1,0,0
Bayern Munich,20,5.0,191,38.2,152,7,9,9,10,4,40,8.0,28,2,2,3,4,1
Dortmund,21,5.0,105,21.0,83,5,8,3,3,3,22,4.4,20,0,2,0,0,0
Eint Frankfurt,22,5.0,149,29.8,112,16,4,5,10,2,31,6.2,27,2,0,1,1,0
Freiburg,23,5.0,99,19.8,69,13,2,7,5,3,11,2.2,7,1,0,2,1,0
Gladbach,20,5.0,130,26.0,96,16,4,5,3,6,8,1.6,6,2,0,0,0,0
Hamburger SV,24,5.0,105,21.0,72,8,9,8,5,3,3,0.6,2,0,0,1,0,0
Heidenheim,22,5.0,86,17.2,60,13,1,5,5,2,7,1.4,5,0,0,1,1,0
Hoffenheim,20,6.0,128,21.33,86,18,8,6,9,1,14,2.33,10,0,1,0,3,0
Köln,22,6.0,137,22.83,99,13,9,11,4,1,19,3.17,16,0,2,1,0,0
Leverkusen,22,5.0,97,19.4,65,9,8,5,10,0,15,3.0,5,2,1,1,6,0
Mainz 05,23,5.0,125,25.0,85,12,7,14,4,3,8,1.6,4,0,2,0,0,2
RB Leipzig,21,5.0,151,30.2,99,17,8,16,10,1,11,2.2,7,0,1,2,1,0
St. Pauli,17,5.0,103,20.6,74,8,4,10,5,2,12,2.4,5,1,1,3,2,0
Stuttgart,22,5.0,135,27.0,106,11,8,3,5,2,13,2.6,10,1,1,0,1,0
Union Berlin,19,5.0,96,19.2,49,22,2,12,10,1,10,2.0,8,0,0,2,0,0
Werder Bremen,22,5.0,98,19.6,83,2,2,4,5,2,15,3.0,10,0,1,2,2,0
Wolfsburg,21,5.0,126,25.2,91,14,5,7,8,1,14,2.8,9,1,0,0,3,1
