Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Augsburg,22,5.0,81,53,31,37,13,41,68,60.3,27,51,13,38,47,128,148,6
vs Bayern Munich,20,5.0,91,55,56,24,11,54,100,54.0,46,75,26,49,47,138,135,8
vs Dortmund,21,5.0,80,46,44,29,7,42,83,50.6,41,49,11,38,58,138,133,4
vs Eint Frankfurt,22,5.0,88,46,49,28,11,44,77,57.1,33,65,22,43,32,120,178,1
vs Freiburg,23,5.0,59,31,23,29,7,28,59,47.5,31,51,17,34,41,100,219,2
vs Gladbach,20,5.0,80,42,36,34,10,33,53,62.3,20,57,19,38,38,118,135,3
vs Hamburger SV,24,5.0,75,36,36,26,13,36,81,44.4,45,44,16,28,38,113,115,3
vs Heidenheim,22,5.0,52,35,26,19,7,30,55,54.5,25,43,10,33,41,93,134,5
vs Hoffenheim,20,6.0,80,52,41,32,7,32,66,48.5,34,72,22,50,56,136,185,4
vs Köln,22,6.0,73,49,36,26,11,29,55,52.7,26,58,24,34,28,101,146,2
vs Leverkusen,22,5.0,82,52,28,37,17,50,89,56.2,39,50,9,41,40,122,103,4
vs Mainz 05,23,5.0,62,39,34,21,7,27,61,44.3,34,77,27,50,51,113,255,2
vs RB Leipzig,21,5.0,72,42,43,18,11,45,105,42.9,60,66,25,41,47,119,113,4
vs St. Pauli,17,5.0,69,44,30,32,7,31,55,56.4,24,57,16,41,51,120,176,2
vs Stuttgart,22,5.0,72,46,34,31,7,30,55,54.5,25,58,23,35,46,118,131,1
vs Union Berlin,19,5.0,70,40,38,25,7,30,57,52.6,27,50,15,35,26,96,182,5
vs Werder Bremen,22,5.0,83,48,29,34,20,38,68,55.9,30,49,7,42,61,144,94,3
vs Wolfsburg,21,5.0,62,34,32,22,8,27,49,55.1,22,56,18,38,47,109,99,5
