Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Avellino,24,6.0,63,37,27,28,8,28,67,41.8,39,56,19,37,37,100,103,2
vs Bari,24,6.0,94,50,37,48,9,40,80,50.0,40,49,16,33,47,141,139,4
vs Carrarese,24,6.0,87,56,42,35,10,56,107,52.3,51,65,27,38,39,126,173,1
vs Catanzaro,22,6.0,68,44,35,28,5,23,61,37.7,38,80,25,55,47,115,158,6
vs Cesena,21,6.0,87,49,43,30,14,39,81,48.1,42,55,18,37,48,135,144,3
vs Empoli,21,6.0,97,52,51,36,10,42,93,45.2,51,63,14,49,44,141,183,2
vs Frosinone,23,6.0,73,44,43,26,4,32,79,40.5,47,78,24,54,33,106,138,4
vs Juve Stabia,21,6.0,78,49,34,33,11,34,76,44.7,42,56,21,35,40,118,162,2
vs Mantova,22,6.0,94,58,39,34,21,51,87,58.6,36,69,25,44,37,131,121,4
vs Modena,20,6.0,80,46,52,20,8,42,65,64.6,23,59,21,38,29,109,190,6
vs Monza,22,6.0,91,53,54,33,4,37,69,53.6,32,75,27,48,42,133,153,4
vs Padova,20,6.0,65,40,31,24,10,29,58,50.0,29,62,17,45,40,105,126,1
vs Palermo,22,6.0,69,37,45,21,3,33,59,55.9,26,59,23,36,37,106,185,1
vs Pescara,26,6.0,97,55,49,39,9,48,82,58.5,34,49,16,33,47,144,106,1
vs Reggiana,24,6.0,91,52,44,35,12,57,84,67.9,27,64,27,37,37,128,157,3
vs Sampdoria,23,6.0,83,52,49,25,9,38,73,52.1,35,61,21,40,43,126,174,0
vs Spezia,22,6.0,64,42,32,27,5,25,52,48.1,27,42,10,32,56,120,154,1
vs Südtirol,22,6.0,92,56,56,20,16,39,71,54.9,32,75,38,37,43,135,223,3
vs Venezia,23,6.0,83,37,45,29,9,40,79,50.6,39,57,20,37,34,117,131,0
vs Virtus Entella,21,6.0,74,44,31,36,7,33,60,55.0,27,64,22,42,29,103,139,7
