Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Avellino,24,26.9,53.2,6,66,540,6.0,9,5,14,8,1,1,10,1,6.3,5.5,4.1,9.6,122,306,1.5,0.83,2.33,1.33,2.17,1.05,0.68,1.74,0.92,1.6
vs Bari,24,27.4,48.7,6,66,540,6.0,11,6,17,9,2,2,16,0,8.7,7.2,4.9,12.1,105,198,1.83,1.0,2.83,1.5,2.5,1.46,0.82,2.28,1.19,2.02
vs Carrarese,24,27.0,49.7,6,66,540,6.0,6,5,11,6,0,0,23,3,5.8,5.8,3.6,9.4,95,162,1.0,0.83,1.83,1.0,1.83,0.97,0.6,1.57,0.97,1.57
vs Catanzaro,22,25.8,38.5,6,66,540,6.0,6,4,10,5,1,1,15,2,6.7,5.9,4.0,9.9,61,155,1.0,0.67,1.67,0.83,1.5,1.11,0.67,1.79,0.98,1.65
vs Cesena,21,26.6,52.7,6,66,540,6.0,8,6,14,7,1,1,13,2,7.1,6.3,5.1,11.4,103,213,1.33,1.0,2.33,1.17,2.17,1.18,0.84,2.03,1.05,1.9
vs Empoli,21,26.4,50.3,6,66,540,6.0,12,10,22,10,2,2,12,0,8.1,6.6,5.1,11.7,90,159,2.0,1.67,3.67,1.67,3.33,1.36,0.85,2.21,1.09,1.95
vs Frosinone,23,27.5,55.5,6,66,540,6.0,4,2,6,3,1,3,9,0,9.4,7.0,5.0,12.0,105,238,0.67,0.33,1.0,0.5,0.83,1.56,0.84,2.4,1.17,2.01
vs Juve Stabia,21,26.3,46.2,6,66,540,6.0,5,4,9,5,0,0,8,1,5.5,5.5,3.8,9.3,70,180,0.83,0.67,1.5,0.83,1.5,0.92,0.63,1.55,0.92,1.55
vs Mantova,22,26.6,39.3,6,66,540,6.0,11,8,19,11,0,1,17,0,10.2,9.5,7.9,17.4,86,176,1.83,1.33,3.17,1.83,3.17,1.71,1.32,3.03,1.58,2.9
vs Modena,20,27.3,51.0,6,66,540,6.0,3,1,4,2,1,1,16,1,4.9,4.1,3.1,7.2,75,158,0.5,0.17,0.67,0.33,0.5,0.82,0.52,1.33,0.69,1.2
vs Monza,22,27.1,45.2,6,66,540,6.0,5,1,6,5,0,1,13,1,5.3,4.5,2.9,7.5,75,145,0.83,0.17,1.0,0.83,1.0,0.89,0.49,1.38,0.76,1.24
vs Padova,20,26.3,52.3,6,66,540,6.0,7,6,13,7,0,0,14,1,7.3,7.3,5.0,12.3,102,227,1.17,1.0,2.17,1.17,2.17,1.21,0.83,2.05,1.21,2.05
vs Palermo,22,26.1,52.0,6,66,540,6.0,2,1,3,2,0,0,13,0,4.5,4.5,3.7,8.2,82,172,0.33,0.17,0.5,0.33,0.5,0.75,0.62,1.37,0.75,1.37
vs Pescara,26,26.4,50.8,6,66,540,6.0,10,6,16,7,3,3,14,0,12.6,10.2,8.2,18.4,86,207,1.67,1.0,2.67,1.17,2.17,2.1,1.37,3.46,1.7,3.07
vs Reggiana,24,26.8,50.8,6,66,540,6.0,9,7,16,9,0,0,10,3,8.6,8.6,6.3,15.0,77,217,1.5,1.17,2.67,1.5,2.67,1.44,1.05,2.49,1.44,2.49
vs Sampdoria,23,27.7,52.2,6,66,540,6.0,9,4,13,9,0,0,11,1,7.1,7.1,4.5,11.6,79,169,1.5,0.67,2.17,1.5,2.17,1.19,0.74,1.94,1.19,1.94
vs Spezia,22,25.9,55.3,6,66,540,6.0,9,7,16,7,2,2,17,0,6.3,4.7,4.1,8.8,108,219,1.5,1.17,2.67,1.17,2.33,1.05,0.68,1.73,0.79,1.47
vs Südtirol,22,26.3,60.5,6,66,540,6.0,8,5,13,7,1,1,9,0,6.2,5.4,4.4,9.8,84,181,1.33,0.83,2.17,1.17,2.0,1.03,0.73,1.76,0.91,1.64
vs Venezia,23,26.4,40.8,6,66,540,6.0,5,4,9,5,0,0,14,2,5.3,5.3,4.2,9.5,68,155,0.83,0.67,1.5,0.83,1.5,0.88,0.7,1.58,0.88,1.58
vs Virtus Entella,21,26.9,55.0,6,66,540,6.0,8,4,12,6,2,2,6,0,7.1,5.6,3.2,8.8,81,186,1.33,0.67,2.0,1.0,1.67,1.19,0.54,1.72,0.93,1.47
