Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Bari,2,38,38,3420,38.0,41,1.08,140,100,72.9,10,18,10,10,26.3,5,3,1,1,25.0
vs Brescia,2,38,38,3420,38.0,42,1.11,158,119,74.7,13,16,9,11,28.9,2,2,0,0,0.0
vs Carrarese,4,38,38,3420,38.0,39,1.03,135,95,73.3,15,12,11,12,31.6,4,3,1,0,25.0
vs Catanzaro,1,38,38,3420,38.0,51,1.34,141,91,65.2,7,20,11,11,28.9,4,2,0,2,0.0
vs Cesena,2,38,38,3418,38.0,46,1.21,155,110,74.2,13,11,14,9,23.7,7,6,1,0,14.3
vs Cittadella,2,38,38,3420,38.0,31,0.82,115,85,73.9,18,10,10,16,42.1,1,1,0,0,0.0
vs Cosenza,2,38,38,3420,38.0,32,0.84,151,119,80.8,18,13,7,13,34.2,4,3,0,1,0.0
vs Cremonese,1,38,38,3420,38.0,62,1.63,190,128,68.4,9,13,16,7,18.4,2,2,0,0,0.0
vs Frosinone,2,38,38,3420,38.0,37,0.97,140,103,75.7,13,16,9,12,31.6,5,3,2,0,40.0
vs Juve Stabia,1,38,38,3420,38.0,42,1.11,130,90,69.2,11,13,14,12,31.6,2,2,0,0,0.0
vs Mantova,1,38,38,3420,38.0,47,1.24,159,112,71.7,14,14,10,11,28.9,4,2,1,1,33.3
vs Modena,2,38,38,3418,38.0,48,1.26,144,98,70.8,13,15,10,9,23.7,6,6,0,0,0.0
vs Palermo,4,38,38,3420,38.0,52,1.37,179,128,73.7,14,10,14,7,18.4,7,5,2,0,28.6
vs Pisa,3,38,38,3420,38.0,62,1.63,138,80,58.0,8,8,22,9,23.7,5,4,0,1,0.0
vs Reggiana,2,38,38,3420,38.0,42,1.11,147,106,72.8,16,11,11,12,31.6,2,2,0,0,0.0
vs Salernitana,4,38,38,3420,38.0,37,0.97,148,111,77.7,18,9,11,16,42.1,6,4,1,1,20.0
vs Sampdoria,5,38,38,3420,38.0,38,1.0,142,104,74.6,13,17,8,13,34.2,3,2,1,0,33.3
vs Sassuolo,3,38,38,3420,38.0,78,2.05,207,130,65.7,6,7,25,4,10.5,8,7,0,1,0.0
vs Spezia,3,38,38,3420,38.0,59,1.55,181,123,70.2,6,15,17,9,23.7,8,5,2,1,28.6
vs Südtirol,3,38,38,3420,38.0,50,1.32,139,91,68.3,16,10,12,11,28.9,6,6,0,0,0.0
