Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Blackburn,2,46,46,4140,46.0,53,1.15,156,104,67.9,18,9,19,15,32.6,3,3,0,0,0.0
vs Bristol City,1,46,46,4140,46.0,59,1.28,186,127,69.9,12,17,17,12,26.1,3,3,0,0,0.0
vs Burnley,2,46,46,4140,46.0,69,1.5,174,108,62.6,2,16,28,14,30.4,4,4,0,0,0.0
vs Cardiff City,2,46,46,4140,46.0,48,1.04,187,140,74.9,20,17,9,15,32.6,2,1,1,0,50.0
vs Coventry City,3,46,46,4140,46.0,64,1.39,195,130,68.2,17,9,20,10,21.7,4,2,2,0,50.0
vs Derby County,2,46,46,4140,46.0,48,1.04,142,99,67.6,22,11,13,17,37.0,2,2,0,0,0.0
vs Hull City,2,46,46,4140,46.0,44,0.96,161,120,75.2,21,13,12,17,37.0,5,4,1,0,20.0
vs Leeds United,2,46,46,4140,46.0,95,2.07,253,161,63.6,4,13,29,7,15.2,4,3,1,0,25.0
vs Luton Town,2,46,46,4140,46.0,45,0.98,154,111,72.1,23,10,13,15,32.6,2,2,0,0,0.0
vs Middlesbrough,4,46,46,4140,46.0,64,1.39,213,149,72.3,18,10,18,13,28.3,7,5,2,0,28.6
vs Millwall,3,46,46,4140,46.0,47,1.02,161,112,72.0,16,12,18,13,28.3,4,2,2,0,50.0
vs Norwich City,3,46,46,4140,46.0,71,1.54,189,121,63.0,17,15,14,11,23.9,2,1,0,1,0.0
vs Oxford United,2,46,46,4140,46.0,49,1.07,149,100,67.1,19,14,13,12,26.1,0,0,0,0,
vs Plymouth Argyle,2,46,46,4140,46.0,51,1.11,141,95,66.0,22,13,11,19,41.3,3,3,0,0,0.0
vs Portsmouth,4,46,46,4137,46.0,58,1.26,162,103,67.3,20,12,14,14,30.4,7,5,2,0,28.6
vs Preston,2,46,46,4140,46.0,48,1.04,150,103,69.3,16,20,10,11,23.9,2,2,0,0,0.0
vs QPR,2,46,46,4140,46.0,53,1.15,173,123,70.5,18,14,14,12,26.1,3,2,0,1,0.0
vs Sheffield Utd,2,46,46,4140,46.0,63,1.37,189,128,68.3,10,8,28,7,15.2,5,3,2,0,40.0
vs Sheffield Weds,2,46,46,4140,46.0,60,1.3,177,120,67.2,18,13,15,14,30.4,4,2,1,1,33.3
vs Stoke City,1,46,46,4140,46.0,45,0.98,156,111,74.4,19,15,12,18,39.1,6,5,1,0,16.7
vs Sunderland,2,46,46,4140,46.0,58,1.26,185,126,69.2,12,13,21,13,28.3,5,1,4,0,80.0
vs Swansea City,1,46,46,4140,46.0,51,1.11,162,113,69.8,19,10,17,16,34.8,3,2,1,0,33.3
vs Watford,3,46,46,4140,46.0,53,1.15,166,114,72.3,21,9,16,11,23.9,7,7,0,0,0.0
vs West Brom,3,46,46,4140,46.0,57,1.24,167,111,66.5,12,19,15,13,28.3,1,1,0,0,0.0
