Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Blackburn,33,46.0,21600,19201,2332,652,24,111,923,1044,251,125,83,6,16597,67,431
vs Bristol City,24,46.0,21539,19286,2175,514,54,106,727,1024,191,116,45,4,16563,78,341
vs Burnley,38,46.0,19051,16797,2122,574,56,80,682,923,174,83,62,0,14626,132,347
vs Cardiff City,33,46.0,22206,19970,2159,608,50,110,741,914,219,117,52,3,17557,77,354
vs Coventry City,26,46.0,19062,16720,2214,567,46,103,758,936,257,138,55,9,14336,128,348
vs Derby County,33,46.0,22015,19561,2390,603,39,111,826,1119,239,129,71,2,16894,64,458
vs Hull City,37,46.0,21792,19434,2271,603,25,102,936,953,250,113,68,7,17228,87,371
vs Leeds United,28,46.0,17314,15158,2091,565,33,98,540,853,136,86,32,1,12928,65,334
vs Luton Town,37,46.0,21392,18949,2373,645,42,100,804,1061,225,122,51,3,16366,70,415
vs Middlesbrough,33,46.0,20543,18385,2061,519,41,130,783,875,220,121,57,5,16232,97,390
vs Millwall,34,46.0,22270,19790,2427,677,30,108,825,1065,249,135,65,3,16931,53,423
vs Norwich City,35,46.0,19140,16928,2122,604,55,122,823,833,232,139,53,1,14816,90,385
vs Oxford United,34,46.0,24506,22154,2283,526,54,115,1036,1093,305,163,80,10,19384,69,409
vs Plymouth Argyle,34,46.0,23792,21229,2459,597,64,133,1013,1172,300,154,82,2,18662,104,434
vs Portsmouth,37,46.0,21345,18840,2405,612,66,116,812,1031,251,125,79,8,15828,100,398
vs Preston,28,46.0,21419,18923,2423,635,58,91,853,1080,246,130,72,6,16325,73,439
vs QPR,30,46.0,22890,20405,2383,560,34,130,889,1152,262,130,89,1,17938,102,418
vs Sheffield Utd,33,46.0,20540,18301,2164,556,29,124,847,948,229,121,78,1,15927,75,402
vs Sheffield Weds,28,46.0,21019,18616,2341,608,54,117,750,1013,234,127,69,3,16350,62,352
vs Stoke City,32,46.0,21953,19568,2277,606,46,137,946,987,268,134,79,3,17076,108,363
vs Sunderland,30,46.0,21629,19441,2124,548,32,84,794,931,197,80,62,2,17027,64,391
vs Swansea City,26,46.0,17994,15599,2297,550,33,131,771,1065,218,114,79,5,13104,98,405
vs Watford,32,46.0,19838,17478,2267,611,45,97,837,995,226,120,72,2,15163,93,365
vs West Brom,30,46.0,19921,17752,2065,486,47,109,855,897,221,117,69,2,15386,104,323
