Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Blackburn,33,46.0,101,4,3,586,507,95,776,382,520,3,4,0,1835,913,912,50.0
Bristol City,24,46.0,77,3,1,470,497,77,858,354,487,3,2,0,1870,847,763,52.6
Burnley,38,46.0,84,3,1,530,531,65,773,337,420,3,2,0,1777,578,681,45.9
Cardiff City,33,46.0,79,4,0,542,485,94,885,371,513,2,4,4,1766,853,802,51.5
Coventry City,26,46.0,75,1,0,504,463,82,1014,355,427,3,1,3,1720,811,772,51.2
Derby County,33,46.0,90,0,0,555,418,81,916,440,532,2,3,1,1876,962,945,50.4
Hull City,37,46.0,77,3,2,543,471,91,865,314,458,5,6,2,1849,753,824,47.7
Leeds United,28,46.0,70,0,0,472,557,104,926,345,411,4,4,4,1802,666,687,49.2
Luton Town,37,46.0,90,7,4,577,525,91,972,353,454,1,3,1,1825,1065,982,52.0
Middlesbrough,33,46.0,69,2,2,432,540,99,716,334,478,7,0,3,1842,547,599,47.7
Millwall,34,46.0,75,1,0,597,519,99,838,441,588,3,3,4,1874,1050,1041,50.2
Norwich City,35,46.0,86,2,1,543,486,87,754,335,482,1,7,2,1896,562,527,51.6
Oxford United,34,46.0,81,0,0,477,482,78,595,413,445,0,4,2,1720,834,836,49.9
Plymouth Argyle,34,46.0,85,6,2,541,506,83,586,376,532,2,4,2,1693,755,948,44.3
Portsmouth,37,46.0,113,1,0,554,538,79,993,433,391,6,4,5,1740,1117,1095,50.5
Preston,28,46.0,119,5,3,583,515,89,732,371,490,2,7,1,1860,901,771,53.9
QPR,30,46.0,95,3,1,500,548,84,761,354,462,1,3,3,1707,830,805,50.8
Sheffield Utd,33,46.0,96,2,1,512,505,69,685,363,491,5,5,1,1744,801,690,53.7
Sheffield Weds,28,46.0,87,2,1,558,518,81,967,410,451,4,6,0,1796,872,732,54.4
Stoke City,32,46.0,107,0,0,540,427,99,720,369,442,6,5,5,1663,689,819,45.7
Sunderland,30,46.0,101,4,1,493,571,79,813,355,456,5,5,5,1872,646,684,48.6
Swansea City,26,46.0,71,1,0,483,583,97,992,353,458,1,4,3,1920,681,890,43.3
Watford,32,46.0,103,6,3,564,487,81,767,370,482,5,1,1,1735,730,720,50.3
West Brom,30,46.0,79,4,1,427,552,76,867,328,412,1,1,3,1735,743,681,52.2
