Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Alverca,25,7.0,105,61,35,52,18,55,108,50.9,53,57,12,45,45,150,146,3
vs Arouca,22,7.0,94,65,30,52,12,47,86,54.7,39,69,13,56,48,142,159,2
vs AVS Futebol,25,7.0,96,53,33,41,22,49,105,46.7,56,66,19,47,53,149,200,3
vs Benfica,24,7.0,125,82,78,37,10,59,129,45.7,70,89,30,59,43,168,220,2
vs Braga,23,7.0,96,55,53,40,3,50,92,54.3,42,89,22,67,78,174,250,3
vs Casa Pia,25,8.0,99,63,43,36,20,47,103,45.6,56,70,19,51,41,140,240,4
vs Estoril,20,8.0,151,99,69,72,10,85,142,59.9,57,70,20,50,46,197,227,9
vs Estrela,27,7.0,113,77,43,50,20,55,95,57.9,40,59,15,44,58,171,159,3
vs Famalicão,21,7.0,95,57,57,26,12,44,85,51.8,41,81,26,55,60,155,215,4
vs Gil Vicente FC,21,7.0,111,71,54,44,13,59,112,52.7,53,72,28,44,55,166,233,6
vs Moreirense,23,7.0,105,68,45,48,12,52,90,57.8,38,61,17,44,56,161,140,6
vs Nacional,22,7.0,122,80,53,49,20,48,106,45.3,58,84,21,63,32,154,213,4
vs Porto,23,7.0,116,83,69,35,12,66,133,49.6,67,78,24,54,64,180,166,11
vs Rio Ave,25,7.0,120,67,42,52,26,72,119,60.5,47,55,23,32,53,173,107,2
vs Santa Clara,22,7.0,124,80,69,47,8,72,128,56.3,56,65,22,43,59,183,208,4
vs Sporting CP,22,7.0,122,69,69,41,12,68,134,50.7,66,88,39,49,72,194,201,9
vs Tondela,25,7.0,87,49,48,29,10,48,95,50.5,47,58,14,44,59,146,230,3
vs Vitória,27,7.0,75,52,35,35,5,35,63,55.6,28,74,24,50,44,119,205,5
