Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Arouca,28,34.0,15955,14084,1807,489,70,76,615,761,180,105,50,2,12604,64,306
AVS Futebol,33,34.0,13626,11823,1756,461,28,69,538,773,117,81,31,0,10320,47,307
Benfica,35,34.0,18762,17020,1656,396,85,167,716,742,240,136,54,1,15407,86,343
Boavista,32,34.0,12251,10379,1785,543,40,92,578,699,129,96,22,0,8734,87,224
Braga,35,34.0,18810,17031,1711,485,49,97,747,754,208,105,54,3,15256,68,319
Casa Pia,32,34.0,13791,12118,1632,451,37,112,511,689,132,99,17,0,10412,41,261
Estoril,28,34.0,15103,13349,1713,552,51,86,456,690,127,52,47,1,11841,41,281
Estrela,40,34.0,12566,10662,1835,589,59,86,511,747,134,74,21,1,9212,69,238
Famalicão,31,34.0,15101,13194,1866,596,28,161,632,756,184,86,53,1,11775,41,287
Farense,37,34.0,11632,9704,1862,483,20,107,629,807,173,81,70,1,8156,66,299
Gil Vicente FC,34,34.0,16155,14393,1712,571,55,115,451,643,131,57,48,0,13018,50,294
Moreirense,31,34.0,14487,12679,1752,558,25,79,463,732,104,51,37,1,11338,56,224
Nacional,31,34.0,13055,11221,1778,491,46,165,608,733,154,67,69,4,9734,56,271
Porto,32,34.0,19080,17376,1656,504,75,100,671,719,187,84,50,1,16032,48,315
Rio Ave,36,34.0,14661,12814,1754,534,40,95,469,676,143,65,59,1,11497,93,296
Santa Clara,25,34.0,13021,11276,1682,467,39,96,522,730,130,70,41,1,9569,63,253
Sporting CP,34,34.0,19150,17489,1624,513,66,94,629,661,212,94,68,1,16353,37,278
Vitória,31,34.0,17462,15601,1806,515,50,102,831,750,228,105,99,0,14091,55,315
