Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alverca,25,7.0,20,2,2,105,100,6,86,58,82,1,4,0,255,81,69,54.0
Arouca,22,7.0,18,2,1,99,94,3,122,42,61,0,3,0,221,83,103,44.6
AVS Futebol,25,7.0,13,1,0,113,88,11,135,58,71,1,2,0,285,113,97,53.8
Benfica,24,7.0,19,1,1,100,99,9,149,51,64,3,0,0,273,135,110,55.1
Braga,23,7.0,11,0,0,63,78,7,163,46,48,2,2,0,288,88,96,47.8
Casa Pia,25,8.0,28,0,0,123,122,12,135,54,98,1,1,0,336,134,110,54.9
Estoril,20,8.0,28,0,0,106,101,10,93,54,77,0,4,0,296,122,127,49.0
Estrela,27,7.0,18,2,1,93,112,10,110,46,65,1,1,0,277,103,103,50.0
Famalicão,21,7.0,23,1,1,136,113,9,133,44,68,0,1,0,287,105,100,51.2
Gil Vicente FC,21,7.0,19,1,1,109,102,9,121,46,77,1,1,0,270,109,130,45.6
Moreirense,23,7.0,22,0,0,105,101,11,109,64,61,0,3,0,272,80,98,44.9
Nacional,22,7.0,22,3,2,110,74,17,127,79,65,0,1,0,298,129,136,48.7
Porto,23,7.0,19,1,1,96,69,12,106,50,58,1,0,1,293,100,77,56.5
Rio Ave,25,7.0,16,0,0,102,101,8,81,58,67,1,0,0,272,89,85,51.1
Santa Clara,22,7.0,18,1,0,99,112,13,132,49,55,3,1,0,243,112,99,53.1
Sporting CP,22,7.0,13,0,0,78,102,15,126,40,75,3,0,0,343,74,70,51.4
Tondela,25,7.0,19,1,0,102,84,25,158,72,81,3,2,1,299,81,105,43.5
Vitória,27,7.0,15,0,0,101,101,13,147,55,58,2,1,1,251,80,103,43.7
