Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Alverca,25,7.0,11,90,29,32.2,12.86,4.14,0.1,0.31,19.6,4,2,4,11.0,8.1,0.09,0.0,0.9
vs Arouca,22,7.0,18,98,33,33.7,14.0,4.71,0.16,0.48,18.2,5,2,3,12.9,10.6,0.11,5.1,5.4
vs AVS Futebol,25,7.0,17,94,31,33.0,13.43,4.43,0.16,0.48,16.8,4,2,2,12.3,10.7,0.12,4.7,4.3
vs Benfica,24,7.0,4,72,28,38.9,10.29,4.0,0.06,0.14,18.4,8,0,0,6.0,6.0,0.09,-2.0,-2.0
vs Braga,23,7.0,7,62,21,33.9,8.86,3.0,0.1,0.29,19.1,1,1,2,9.0,7.4,0.13,-2.0,-1.4
vs Casa Pia,25,8.0,13,107,34,31.8,13.37,4.25,0.12,0.38,17.5,4,0,1,12.3,11.5,0.11,0.7,1.5
vs Estoril,20,8.0,13,99,27,27.3,12.38,3.38,0.09,0.33,18.2,3,4,4,13.8,10.8,0.11,-0.8,-1.8
vs Estrela,27,7.0,6,82,26,31.7,11.71,3.71,0.06,0.19,17.5,5,1,1,8.5,7.7,0.1,-2.5,-2.7
vs Famalicão,21,7.0,3,78,26,33.3,11.14,3.71,0.03,0.08,18.7,3,1,1,7.3,6.5,0.08,-4.3,-4.5
vs Gil Vicente FC,21,7.0,4,77,22,28.6,11.0,3.14,0.04,0.14,17.6,4,1,1,6.6,5.8,0.08,-2.6,-2.8
vs Moreirense,23,7.0,8,99,31,31.3,14.14,4.43,0.05,0.16,19.1,2,3,3,10.6,8.2,0.08,-2.6,-3.2
vs Nacional,22,7.0,10,97,28,28.9,13.86,4.0,0.09,0.32,19.2,8,1,1,9.1,8.3,0.09,0.9,0.7
vs Porto,23,7.0,0,77,12,15.6,11.0,1.71,0.0,0.0,20.9,3,0,0,3.7,3.7,0.05,-3.7,-3.7
vs Rio Ave,25,7.0,13,128,47,36.7,18.29,6.71,0.1,0.28,16.0,1,0,0,12.7,12.7,0.1,0.3,0.3
vs Santa Clara,22,7.0,8,62,23,37.1,8.86,3.29,0.13,0.35,19.6,1,0,1,7.0,6.2,0.1,1.0,1.8
vs Sporting CP,22,7.0,4,51,17,33.3,7.29,2.43,0.08,0.24,19.9,1,0,0,4.1,4.1,0.08,-0.1,-0.1
vs Tondela,25,7.0,10,93,33,35.5,13.29,4.71,0.09,0.24,17.1,3,2,2,12.2,10.6,0.12,-2.2,-2.6
vs Vitória,27,7.0,10,84,30,35.7,12.0,4.29,0.11,0.3,19.5,4,1,1,9.2,8.4,0.1,0.8,0.6
