Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Alverca,25,7.0,106,15.14,74,9,6,5,11,1,11,1.57,9,0,0,0,2,0
Arouca,22,7.0,131,18.71,103,11,6,2,7,2,18,2.57,16,1,1,0,0,0
AVS Futebol,25,7.0,131,18.71,83,19,7,7,11,4,7,1.0,4,0,1,1,0,1
Benfica,24,7.0,205,29.29,152,16,13,13,11,0,23,3.29,14,1,2,3,3,0
Braga,23,7.0,178,25.43,131,20,4,13,7,3,18,2.57,12,1,1,2,2,0
Casa Pia,25,8.0,138,17.25,85,24,4,10,15,0,12,1.5,9,1,0,1,1,0
Estoril,20,8.0,165,20.62,115,20,10,12,7,1,15,1.87,9,2,2,2,0,0
Estrela,27,7.0,125,17.86,82,12,5,11,12,3,11,1.57,8,0,0,2,1,0
Famalicão,21,7.0,155,22.14,122,15,10,3,5,0,12,1.71,9,2,1,0,0,0
Gil Vicente FC,21,7.0,166,23.71,99,17,13,20,12,5,11,1.57,7,0,2,0,2,0
Moreirense,23,7.0,111,15.86,76,10,6,9,7,3,17,2.43,12,1,2,1,0,1
Nacional,22,7.0,122,17.43,80,14,9,6,8,5,10,1.43,6,1,2,0,0,1
Porto,23,7.0,187,26.71,129,17,17,15,6,3,31,4.43,17,4,4,5,1,0
Rio Ave,25,7.0,121,17.29,89,3,11,12,5,1,14,2.0,12,1,0,0,1,0
Santa Clara,22,7.0,132,18.86,81,14,15,10,11,1,10,1.43,3,2,0,1,4,0
Sporting CP,22,7.0,235,33.57,175,13,14,17,9,7,36,5.14,28,1,0,1,5,1
Tondela,25,7.0,146,20.86,101,15,6,10,11,3,7,1.0,3,1,0,2,1,0
Vitória,27,7.0,163,23.29,105,22,7,10,16,3,11,1.57,6,1,0,2,2,0
