Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Bari,30,38.0,955,25.13,656,93,46,67,74,19,70,1.84,43,6,3,10,7,1
vs Brescia,26,38.0,971,25.55,727,84,47,56,47,10,85,2.24,63,6,4,5,6,1
vs Carrarese,33,38.0,955,25.13,686,90,36,70,61,12,80,2.11,50,6,3,13,8,0
vs Catanzaro,28,38.0,862,22.68,638,69,33,63,43,16,73,1.92,59,4,3,6,0,1
vs Cesena,27,38.0,780,20.53,544,79,39,57,51,10,74,1.95,52,9,2,10,1,0
vs Cittadella,33,38.0,953,25.08,668,93,53,68,59,12,82,2.16,42,7,7,13,10,3
vs Cosenza,31,38.0,865,22.76,604,98,40,65,49,9,92,2.42,69,4,6,9,3,1
vs Cremonese,29,38.0,655,17.24,457,60,30,46,44,18,71,1.87,43,6,5,7,7,3
vs Frosinone,38,38.0,834,21.95,608,84,30,60,44,8,82,2.16,59,6,2,11,4,0
vs Juve Stabia,29,38.0,790,20.79,512,102,53,50,62,11,69,1.82,40,5,6,8,7,3
vs Mantova,26,38.0,898,23.63,646,84,42,60,46,20,92,2.42,67,6,9,4,3,3
vs Modena,30,38.0,893,23.5,645,80,39,61,57,11,79,2.08,48,4,7,15,4,1
vs Palermo,29,38.0,879,23.13,629,90,26,67,51,16,67,1.76,43,6,3,10,4,1
vs Pisa,33,38.0,671,17.66,500,54,23,37,47,10,62,1.63,41,7,2,6,6,0
vs Reggiana,30,38.0,878,23.11,636,89,31,58,46,18,81,2.13,55,7,5,8,5,1
vs Salernitana,42,38.0,787,20.71,570,84,34,43,46,10,83,2.18,56,10,3,7,6,1
vs Sampdoria,38,38.0,923,24.29,620,92,49,89,52,21,80,2.11,57,8,1,9,2,3
vs Sassuolo,34,38.0,844,22.21,606,82,34,57,47,18,67,1.76,47,5,6,5,3,1
vs Spezia,27,38.0,763,20.08,515,81,39,69,46,13,53,1.39,35,6,3,6,2,1
vs Südtirol,32,38.0,956,25.16,705,80,30,72,55,14,95,2.5,62,9,3,11,8,2
