Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arouca,28,34.0,552,350,275,207,70,282,550,51.3,268,376,129,247,297,849,852,23
AVS Futebol,33,34.0,565,365,295,210,60,309,560,55.2,251,390,113,277,303,868,929,23
Benfica,35,34.0,625,377,238,276,111,332,587,56.6,255,316,61,255,311,936,493,25
Boavista,32,34.0,565,329,281,217,67,299,601,49.8,302,336,108,228,313,878,843,32
Braga,35,34.0,571,323,231,254,86,292,557,52.4,265,333,79,254,280,851,795,14
Casa Pia,32,34.0,497,303,245,184,68,258,465,55.5,207,364,121,243,297,794,907,29
Estoril,28,34.0,530,327,224,228,78,279,511,54.6,232,331,91,240,324,854,901,18
Estrela,40,34.0,613,373,306,251,56,312,575,54.3,263,388,115,273,306,919,969,28
Famalicão,31,34.0,560,353,278,210,72,272,528,51.5,256,323,96,227,296,856,800,18
Farense,37,34.0,589,365,287,245,57,282,560,50.4,278,390,113,277,327,916,992,14
Gil Vicente FC,34,34.0,539,341,256,228,55,309,528,58.5,219,357,115,242,310,849,868,17
Moreirense,31,34.0,547,311,283,210,54,275,524,52.5,249,336,118,218,283,830,1015,24
Nacional,31,34.0,555,383,287,210,58,280,541,51.8,261,387,125,262,287,842,878,30
Porto,32,34.0,472,275,174,202,96,238,449,53.0,211,300,65,235,253,725,521,13
Rio Ave,36,34.0,597,366,318,210,69,325,618,52.6,293,359,116,243,312,909,959,27
Santa Clara,25,34.0,559,326,262,229,68,262,513,51.1,251,335,85,250,288,847,966,7
Sporting CP,34,34.0,545,332,205,241,99,277,463,59.8,186,318,67,251,252,797,556,17
Vitória,31,34.0,528,332,256,190,82,283,511,55.4,228,319,71,248,267,795,764,15
