Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Arouca,28,34.0,699,20.56,514,50,32,50,44,9,60,1.76,44,1,2,5,8,0
AVS Futebol,33,34.0,594,17.47,421,57,28,40,33,15,44,1.29,27,5,1,5,6,0
Benfica,35,34.0,989,29.09,705,88,55,63,58,20,140,4.12,99,9,8,14,10,0
Boavista,32,34.0,587,17.26,394,77,17,40,47,12,33,0.97,16,3,3,6,5,0
Braga,35,34.0,808,23.76,569,80,40,63,42,14,96,2.82,65,7,5,9,8,2
Casa Pia,32,34.0,557,16.38,374,71,29,28,44,11,63,1.85,38,9,3,5,6,2
Estoril,28,34.0,578,17.0,414,50,36,30,32,16,76,2.24,52,3,6,8,5,2
Estrela,40,34.0,539,15.85,363,59,38,29,40,10,41,1.21,27,2,5,2,5,0
Famalicão,31,34.0,685,20.15,477,73,46,35,42,12,74,2.18,58,2,3,3,7,1
Farense,37,34.0,641,18.85,389,106,31,45,50,20,43,1.26,32,4,4,1,2,0
Gil Vicente FC,34,34.0,578,17.0,429,52,30,39,20,8,54,1.59,39,3,2,7,3,0
Moreirense,31,34.0,622,18.29,453,53,33,38,34,11,67,1.97,40,9,6,5,7,0
Nacional,31,34.0,779,22.91,538,87,27,65,42,20,52,1.53,30,8,1,8,3,2
Porto,32,34.0,872,25.65,659,68,39,51,41,14,115,3.38,82,5,9,8,10,1
Rio Ave,36,34.0,646,19.0,431,64,47,49,37,18,60,1.76,34,3,12,7,3,1
Santa Clara,25,34.0,631,18.56,427,63,37,46,41,17,54,1.59,37,6,1,6,4,0
Sporting CP,34,34.0,1108,32.59,788,92,83,71,55,19,145,4.26,94,5,19,12,11,4
Vitória,31,34.0,778,22.88,556,91,28,50,45,8,74,2.18,42,11,4,8,8,1
