Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Atlético Mineiro,28,14.0,14,223,66,29.6,15.93,4.71,0.06,0.2,20.4,20,1,1,16.4,15.6,0.07,-2.4,-2.6
Bahia,27,14.0,16,171,48,28.1,12.21,3.43,0.08,0.29,17.8,10,2,2,20.2,18.6,0.11,-4.2,-4.6
Botafogo (RJ),30,14.0,17,206,71,34.5,14.71,5.07,0.08,0.23,18.1,7,1,1,17.9,17.1,0.08,-0.9,-1.1
Ceará,27,14.0,14,160,49,30.6,11.43,3.5,0.08,0.27,19.9,10,1,1,14.6,13.8,0.09,-0.6,-0.8
Corinthians,30,15.0,14,156,46,29.5,10.4,3.07,0.08,0.28,18.0,6,1,2,17.1,16.0,0.11,-3.1,-3.0
Cruzeiro,30,15.0,26,208,71,34.1,13.87,4.73,0.12,0.35,18.6,11,1,3,20.9,18.5,0.09,5.1,6.5
Flamengo,25,14.0,27,189,79,41.8,13.5,5.64,0.13,0.32,18.0,2,2,3,21.1,18.6,0.1,5.9,6.4
Fluminense,29,13.0,14,170,51,30.0,13.08,3.92,0.08,0.25,19.2,6,1,1,14.3,13.6,0.08,-0.3,-0.6
Fortaleza,35,14.0,13,180,46,25.6,12.86,3.29,0.06,0.24,19.8,9,2,3,16.6,14.3,0.08,-3.6,-3.3
Grêmio,31,14.0,13,157,56,35.7,11.21,4.0,0.07,0.2,19.1,4,2,2,14.5,12.9,0.09,-1.5,-1.9
Internacional,32,14.0,14,199,62,31.2,14.21,4.43,0.07,0.21,19.1,9,1,1,18.1,17.4,0.09,-4.1,-4.4
Juventude,33,13.0,10,125,36,28.8,9.62,2.77,0.08,0.28,20.8,8,0,0,8.0,8.0,0.07,2.0,2.0
Mirassol,28,13.0,20,166,55,33.1,12.77,4.23,0.1,0.29,20.0,4,4,5,18.8,14.8,0.09,1.2,1.2
Palmeiras,27,13.0,15,182,46,25.3,14.0,3.54,0.07,0.28,20.5,9,2,3,17.1,14.7,0.08,-2.1,-1.7
RB Bragantino,26,15.0,18,197,61,31.0,13.13,4.07,0.09,0.28,18.7,10,1,1,16.5,15.7,0.08,1.5,1.3
Santos,32,14.0,11,163,34,20.9,11.64,2.43,0.06,0.29,18.1,8,1,1,14.1,13.3,0.08,-3.1,-3.3
São Paulo,29,15.0,14,177,46,26.0,11.8,3.07,0.07,0.26,19.1,6,2,4,18.7,15.5,0.09,-4.7,-3.5
Sport Recife,34,13.0,4,170,52,30.6,13.08,4.0,0.02,0.08,19.8,13,0,0,10.5,10.5,0.06,-6.5,-6.5
Vasco da Gama,28,14.0,15,190,66,34.7,13.57,4.71,0.08,0.23,18.9,6,0,0,15.4,15.4,0.08,-0.4,-0.4
Vitória,29,15.0,11,173,59,34.1,11.53,3.93,0.06,0.19,19.9,4,0,0,13.3,13.3,0.08,-2.3,-2.3
